Run accession number	Number of base pairs	Tissue type	Cell line	Cell type	UBERON code	UBERON term	DOT code	DOT term	Library strategy	Instrument platform	Donor information
ERR4659273	1545987072	thymus	Primary tissue	thymic interstitial cell	UBERON:0002370	thymus	normal	normal	RNA-Seq	ILLUMINA	nan
SRR18363200	4590634073	Adipose tissue biopsy	Primary tissue	Adipocytes Immune cells	nan	nan	DOID:0080846	Normal Glucose Tolerance, latent autoimmune diabetes in adults	RNA-Seq	ILLUMINA	nan
SRR14362364	10525134800	Heart  Atrial Appendage 	Primary tissue	Cardiomyocyte	UBERON:0000948	heart	DOID:4	disease	RNA-Seq	ILLUMINA	nan
SRR3393497	3058035500	brain	Primary tissue	neuron	UBERON:0000955	brain	normal	normal	RNA-Seq	ILLUMINA	nan
ERR2022828	1971079181	Normal human tissue Melanoma Breast cancer	13 melanoma samples and 7 breast cancer cell lines Primary tissue	Melanocytes  Mammary gland cells	nan	Breast,  + Skin	DOID:1612, DOID:1909	breast cancer, melanoma	RNA-Seq	ILLUMINA	nan
SRR15013671	3292490976	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR2422923	13163874996	brain	Primary tissue	Neuron	UBERON:0009834	dorsolateral prefrontal cortex	DOID:0080348	Alzheimer s disease 1	RNA-Seq	ILLUMINA	nan
SRR8931999	7547482146	ESCC	value	value	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
SRR19095764	3364613784	Vastus Lateralis	Primary tissue	Skeletal muscle cell	UBERON:0000376, UBERON:0001630	hindlimb stylopod, muscle organ	DOID:0110741	type 1 diabetes mellitus 2	RNA-Seq	ILLUMINA	nan
SRR22283278	27902892600	Whole blood	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR16212318	15338222700	endometrium	Primary tissue	epithelial	UBERON:0001295	endometrium	DOID:288	endometriosis of uterus	RNA-Seq	ILLUMINA	nan
SRR1721299	7882875600	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
