Run Accession;Cell type;UBERON term;Tissue type;Cell line;DOT term
ERR1514472;NA;UBERON:0002100 + Bone marrow;Bone marrow;Primary tissue;Estimated - DOID:0080600 + Cellular aging, DOID:0001827 + Musculoskeletal system disease  (Estimated - need validation with external database for the specific disease)
ERR1514464;NA;UBERON:0002100 + Bone marrow;Bone marrow;Primary tissue;Estimated - DOID:0080600 + Cellular aging, DOID:0001827 + Musculoskeletal system disease  (Estimated - need validation with external database for the specific disease)
ERR1514456;NA;UBERON:0002100 + Bone marrow;Bone marrow;Primary tissue;Estimated - DOID:0080600 + Cellular aging, DOID:0001827 + Musculoskeletal system disease  (Estimated - need validation with external database for the specific disease)
ERR1514452;NA;UBERON:0002100 + Bone marrow;Bone marrow;Primary tissue;Estimated - DOID:0080600 + Cellular aging, DOID:0001827 + Musculoskeletal system disease  (Estimated - need validation with external database for the specific disease)
SRR25387948;Epithelial cells, Stromal cells, Immune cells (Inferred based on prostate tissue composition);"UBERON:0002367 + Prostate (Estimated; further validation recommended for specificity, e.g., GTEx)";NA;Primary tissue;DOID:10283 + Prostate cancer (Validated)
SRR25387905;Epithelial cells, Stromal cells, Immune cells (Inferred based on prostate tissue composition);"UBERON:0002367 + Prostate (Estimated; further validation recommended for specificity, e.g., GTEx)";NA;Primary tissue;DOID:10283 + Prostate cancer (Validated)
SRR25387928;Epithelial cells, Stromal cells, Immune cells (Inferred based on prostate tissue composition);"UBERON:0002367 + Prostate (Estimated; further validation recommended for specificity, e.g., GTEx)";NA;Primary tissue;DOID:10283 + Prostate cancer (Validated)
SRR25387955;Epithelial cells, Stromal cells, Immune cells (Inferred based on prostate tissue composition);"UBERON:0002367 + Prostate (Estimated; further validation recommended for specificity, e.g., GTEx)";NA;Primary tissue;DOID:10283 + Prostate cancer (Validated)
SRR25387977;Epithelial cells, Stromal cells, Immune cells (Inferred based on prostate tissue composition);"UBERON:0002367 + Prostate (Estimated; further validation recommended for specificity, e.g., GTEx)";NA;Primary tissue;DOID:10283 + Prostate cancer (Validated)
SRR25387871;Epithelial cells, Stromal cells, Immune cells (Inferred based on prostate tissue composition);"UBERON:0002367 + Prostate (Estimated; further validation recommended for specificity, e.g., GTEx)";NA;Primary tissue;DOID:10283 + Prostate cancer (Validated)
SRR16522667;Neuron (Inferred);"UBERON:0000955 + Brain; UBERON:0001876 + Hippocampus; UBERON:0001388 + Cortex";NA;Primary tissue;DOID:3312 + Epilepsy (Validated)
ERR1993153;Epithelial cells, immune cells (Inferred);UBERON:0003708 (Terminal ileum);Ileal tissue;Primary tissue;DOID:877 (Crohn's disease) (Estimated)
ERR1993156;Epithelial cells, immune cells (Inferred);UBERON:0003708 (Terminal ileum);Ileal tissue;Primary tissue;DOID:877 (Crohn's disease) (Estimated)
ERR1993158;Epithelial cells, immune cells (Inferred);UBERON:0003708 (Terminal ileum);Ileal tissue;Primary tissue;DOID:877 (Crohn's disease) (Estimated)
SRR18363200;Adipocytes, Immune cells (inferred from Adipose tissue context);UBERON:0000948 + Adipose tissue (Estimated, requires GTEx validation for specificity);NA;Primary tissue;DOID:9352 + Type 2 Diabetes (Validated), DOID:0060686 + Normal Glucose Tolerance (Validated)
SRR18363159;Adipocytes, Immune cells (inferred from Adipose tissue context);UBERON:0000948 + Adipose tissue (Estimated, requires GTEx validation for specificity);NA;Primary tissue;DOID:9352 + Type 2 Diabetes (Validated), DOID:0060686 + Normal Glucose Tolerance (Validated)
SRR3393497;NA;"UBERON:0002371 - caudate nucleus, likely extending to UBERON:0002370 - putamen as mentioned ""caudate-putamen tissue"" in the metadata. Further validation is recommended.";NA;NA;NA
SRR3393496;NA;"UBERON:0002371 - caudate nucleus, likely extending to UBERON:0002370 - putamen as mentioned ""caudate-putamen tissue"" in the metadata. Further validation is recommended.";NA;NA;NA
SRR3393509;NA;"UBERON:0002371 - caudate nucleus, likely extending to UBERON:0002370 - putamen as mentioned ""caudate-putamen tissue"" in the metadata. Further validation is recommended.";NA;NA;NA
SRR3393505;NA;"UBERON:0002371 - caudate nucleus, likely extending to UBERON:0002370 - putamen as mentioned ""caudate-putamen tissue"" in the metadata. Further validation is recommended.";NA;NA;NA
SRR3393521;NA;"UBERON:0002371 - caudate nucleus, likely extending to UBERON:0002370 - putamen as mentioned ""caudate-putamen tissue"" in the metadata. Further validation is recommended.";NA;NA;NA
