Run accession number|Number of base pairs|Tissue type|Cell line|Cell type|UBERON organ and code|Disease Ontology Term|Library strategy|Instrument platform|Donor information
ERR4659273|1545987072|NA|NA|thymic interstitial cell|NA|NA|RNA-Seq|ILLUMINA|NA
SRR18363200|4590634073|Adipose tissue biopsy|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR14362364|10525134800|Heart (Atrial Appendage)|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR3393497|3058035500|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR2022828|1971079181|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013671|3292490976|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR2422923|13163874996|brain|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR8931999|7547482146|ESCC|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR19095764|3364613784|Vastus Lateralis|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22283278|27902892600|Whole blood|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR16212318|15338222700|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR1721299|7882875600|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR4785813|17639019724|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR18363159|1711108148|Adipose tissue biopsy|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094294|6466751396|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR25387948|4813409536|prostate|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094265|6841367496|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR3393496|3645399900|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013552|7290717888|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR23920439|12950724965|colon, intact bowel wall|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013467|6125074656|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR16013051|16248197100|oral mucosa|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR5259641|2417129550|Uninvolved|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR3393509|3001876300|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR4240818|11287277712|Tibialis anterior muscle|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR10192694|10484029200|hippocampus|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR3703035|3576895400|Noncancerous tissue|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR8518269|16396149000|Paired normal breast tissue|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR11547435|17956181100|Liver tissue|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR5259629|1830218900|Uninvolved|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094278|7148801708|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR4240784|2606717040|Quadriceps muscle|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7012371|13769212800|Fresh frozen;adjacent normal tissue|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013504|2922031488|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094252|6243790548|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013479|2984300544|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR6937800|2687734500|skin|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR13572929|3891909500|Normal appearing thyroid tissue adjacent to PTC tumor;Thyroid|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094279|6785557055|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR25387905|12546107890|prostate|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR21736658|5223858587|Brain white matter|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7430750|4007301100|Ovary|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR11812193|14821965800|sigmoidal colon|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR8052767|7389001368|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR19095697|3059245476|Vastus Lateralis|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22283288|30859349400|Whole blood|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013677|2233419168|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22532373|9104145792|Peripheral blood|NA|Peripheral blood CD19+ B cell|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013520|9205240800|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR23630242|47654267878|NA|NA|primary skin fibroblasts|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22532366|9049523376|Peripheral blood|NA|Peripheral blood CD19+ B cell|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013657|3032544288|liver|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
