run_accession	first_public	study_title	project_name	study_accession	sample_accession	sample_title	sample_description	library_name	library_selection	library_source	library_strategy	library_construction_protocol	library_layout	rna_integrity_num	instrument_platform	rt_prep_protocol	cell_line	cell_type	tissue_lib	tissue_type	host_phenotype	isolate	age	host_body_site	sampling_site	base_count	description	sample_metadata_ncbi	study_metadata_ncbi
ERR4659273	2020-10-29	RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs)	RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs)	PRJEB40695	SAMEA7377127	19PBR239	Protocols: detachment of cells from 2d dish, freezing of cultivated cells into RNAlater. TECs: growth onto irradiated 3T3-J2 feeder layer. TICs: cultuvation in MegaCell medium in 2d dish. RNeasy Plus Micro Kit, Qiagen. TruSeq® Stranded Total RNA.	19PBR239_p	Inverse rRNA	TRANSCRIPTOMIC	RNA-Seq	detachment of cells from 2d dish, freezing of cultivated cells into RNAlater. TECs: growth onto irradiated 3T3-J2 feeder layer. TICs: cultuvation in MegaCell medium in 2d dish. RNeasy Plus Micro Kit, Qiagen. TruSeq® Stranded Total RNA.	PAIRED		ILLUMINA			thymic interstitial cell								1545987072	Illumina NovaSeq 6000 sequencing: RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs)	ERS5135567SAMEA737712719PBR2399606Homo sapiensProtocols: detachment of cells from 2d dish, freezing of cultivated cells into RNAlater. TECs: growth onto irradiated 3T3-J2 feeder layer. TICs: cultuvation in MegaCell medium in 2d dish. RNeasy Plus Micro Kit, Qiagen. TruSeq® Stranded Total RNA.ENA-FIRST-PUBLIC2020-10-29T04:06:44ZENA-LAST-UPDATE2020-10-06T16:11:37ZExternal IdSAMEA7377127INSDC center nameIstituto Europeo di OncologiaINSDC first public2020-10-29T04:06:44ZINSDC last update2020-10-06T16:11:37ZINSDC statuspublicSubmitter IdE-MTAB-9641:19PBR239broker nameArrayExpresscell typethymic interstitial cellcommon namehumandevelopmental stagejuvenile stagediseasenormalgrowth conditioncells cultivated in 2Dorganism partthymussample nameE-MTAB-9641:19PBR239scientific_nameHomo sapiens	ERP124353PRJEB40695E-MTAB-9641RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs)Transcriptomic profiling of cultivated human thymic epithelial cells and thymic interstitial cells.Transcriptomic profiling of cultivated human thymic epithelial cells and thymic interstitial cells.E-MTAB-9641 in ArrayExpresshttp://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9641ENA-FIRST-PUBLIC2020-10-29ENA-LAST-UPDATE2020-10-06
SRR18363200	2023-12-24	Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M	Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M	PRJNA817436	SAMN26788721	63_PRE	63_PRE	GSM5960725	cDNA	TRANSCRIPTOMIC	RNA-Seq	Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500	PAIRED		ILLUMINA					Adipose tissue biopsy						4590634073	NextSeq 500 sequencing: GSM5960725: 63_PRE Homo sapiens RNA-Seq	SRS12296039SAMN26788721GSM596072563_PRE9606Homo sapiensbioproject817436PRJNA817436source_nameAdipose tissue biopsySexfemaleage64participant id63diagnosisT2DexercisePREtissueAdipose tissue biopsygeo_loc_namemissingcollection_datemissing	SRP364783PRJNA817436GSE198922Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-MThe discovery of novel exercise-regulated circulatory factors has fueled interest in the role of organ-crosstalk, especially between skeletal muscle and adipose tissue in mediating beneficial effects of exercise. We studied the adipose tissue transcriptome in men and women with normal glucose tolerance or type 2 diabetes following an acute exercise bout, revealing substantial exercise and time-dependent changes, and a sustained increase in inflammatory genes unique to Type 2 diabetes. We identify Oncostatin-M as one of the most upregulated adipose tissue secreted factors post exercise. In cultured human adipocytes, oncostatin-M enhanced MAPK signalling and regulates lipolysis. Oncostatin-M expression predominantly arises from adipose tissue immune cell fractions, while the corresponding receptors are expressed in adipocytes. Oncostatin-M expression is induced in cultured human Thp1 macrophages in response to exercise-like stimuli. Our results suggest immune cells, via secreted factors such as oncostatin-M, are important in crosstalk between skeletal muscle and adipose tissue during exercise, to regulate adipocyte metabolism and adaptation. Overall design: Adipose tissue RNAseq from human participants with or without type 2 diabetes, before, immediately after, and 3 hours after exercise.GSE198922
SRR14362364	2021-11-17	Ischemic heart disease selectively modifies the right atrial appendage transcriptome	Ischemic heart disease selectively modifies the right atrial appendage transcriptome	PRJNA726237	SAMN18926144	(ICA)-positive IHD undergoing coronary artery bypass surgery, 12-03-15-HSN	(ICA)-positive IHD undergoing coronary artery bypass surgery, 12-03-15-HSN		cDNA	TRANSCRIPTOMIC	RNA-Seq	During cardiac surgery, a biopsy sample of the RAA was collected from each patient. Tissue samples were collected at the cannulation site, the insertion site of the venous line for the heart–lung machine. Dissected biopsies were briefly washed in ice-cold sterile saline, cut into 0.5 cm thick tissue pieces, and immersed into 3 ml of RNAlater (Sigma Aldrich, Merck KGaA, Darmstadt, Germany) to inactivate RNAses and stabilize RNA. Samples were let to stabilize at +4°C for one day and stored at under -70°C until processing. Total RNA was isolated from RAA biopsies via initial ice-cold tissue homogenization using a Precellys 24 tissue homogenizer equipped with the Cryolys cooling option (Bertin Technologies SAS, Montigny-le-Bretonneux, France) followed by RNA isolation using combined QIAzol / chloroform extraction and Qiagen RNeasy mini spin column purification according to the manufacturer's instructions (Qiagen, Venlo, Netherlands). The sample RNA integrity number (RIN mean 7.95 ± 0.55 range 7.1–9.0) and total quantity (mean 3069.55 ± 1141.08 ng range 867.8–6855.0 ng) was evaluated in the Functional Genomics Unit (FuGU, University of Helsinki, Helsinki, Finland). Isolated total RNA was stored at under -70oC until sequencing. Ribosomal RNA was removed using the Ribo-ZeroTM Magnetic kit (Illumina Inc, San Diego, CA). RNA libraries were prepared for sequencing using standard Illumina protocols	PAIRED		ILLUMINA					Heart (Atrial Appendage)						10525134800	Illumina HiSeq 4000 sequencing: GSM5271541: (ICA)-positive IHD undergoing coronary artery bypass surgery, 12-03-15-HSN Homo sapiens RNA-Seq	SRS8804946SAMN18926144GSM5271541(ICA)-positive IHD undergoing coronary artery bypass surgery, 12-03-15-HSN9606Homo sapiensbioproject726237PRJNA726237source_nameHeart (Atrial Appendage)tissueHeart (Atrial Appendage)disease state(ICA)-positive	SRP317431PRJNA726237GSE173594Ischemic heart disease selectively modifies the right atrial appendage transcriptomePurpose: This study aims to identify IHD-associated signature RNAs from the atrial myocardium and evaluate their ability to reflect disease severity or cardiac surgery outcomes. Methods: We collected right atrial appendage (RAA) biopsies from 40 patients with invasive coronary angiography (ICA)-positive IHD undergoing coronary artery bypass surgery and from 8 patients ICA-negative for IHD (non-IHD) undergoing valvular surgery. Following RNA sequencing, RAA transcriptomes were analyzed against those 429 donors from the GTEx project without cardiac background. Results: The IHD transcriptome was characterized using repressed RNA expressions in pathways for cell–cell contacts and mitochondrial dysfunction. Specifically, we identified the increased expressions of the CSRNP3, FUT10, SHD, NAV2-AS4, and hsa-mir-181 genes to correlate with the complexity of coronary artery obstructions or with a functional cardiac benefit from bypass surgery. Conclusions: Our results provide an atrial myocardium–focused insight into IHD signature RNAs. The specific gene expression changes we characterized here pave the way for disease mechanism–based identification of biomarkers allowing for the early detection and treatment of IHD. Overall design: Atrial appendage mRNA profiles of invasive coronary angiography (ICA)-positive IHD undergoing coronary artery bypass surgery and ICA-negative for IHD (non-IHD) undergoing valvular surgery.GSE173594pubmed34926599
SRR3393497	2016-08-11	Transcriptome profiling of the human dorsal striatum in bipolar disorder	Homo sapiens	PRJNA318642	SAMN04859348	control-12	control-12		cDNA	TRANSCRIPTOMIC	RNA-Seq	Frozen postmortem dorsal striatum samples were transferred to RNAlater-ICE (Ambion) and stored at -20C upon receipt. Total RNA was extracted from dissected caudate-putamen tissue by Trizol (Life Technologies), column-purified by the RNeasy Lipid Tissue Kit (Qiagen) and treated with the Turbo DNA-free Kit (Life Technologies). RNA samples were assayed on the BioAnalyzer (Agilent, Santa Clara, CA) to obtain RNA integrity number (RIN) values. Ribosomal RNA (rRNA) was depleted from samples using the RiboMinus Eukaryote Kit v2 (Life Technologies). Strand-specific cDNA libraries were made using the Next Ultra Directional RNA Library Prep Kit (NEB) and sequenced on the Illumina HiSeq2000.	SINGLE		ILLUMINA											3058035500	Illumina HiSeq 2000 sequencing: GSM2124743: control-12 Homo sapiens RNA-Seq	SRS1399509SAMN04859348GSM2124743control-129606Homo sapiensbioproject318642PRJNA318642source_namedorsal striatum, controlSexfemalerin5.2	SRP073382PRJNA318642GSE80336Transcriptome profiling of the human dorsal striatum in bipolar disorderBipolar disorder (BD) is a highly heritable and heterogeneous mental illness whose manifestations often include impulsive and risk-taking behavior. This particular phenotype suggests that abnormal striatal function could be involved in BD etiology, yet most transcriptomic studies of this disorder have concentrated on cortical brain regions. We report the first transcriptome profiling by RNA-Seq of the human dorsal striatum comparing bipolar and control subjects. Differential expression analysis and functional pathway enrichment analysis were performed to identify changes in gene expression that correlate with BD status. Further co-expression and enrichment analyses were performed to identify sets of correlated genes that show association to BD. Overall design: Total RNA samples were isolated from 36 postmortem dorsal striatum subjects (18 bipolar and 18 control) and sequenced. One outlier sample was removed and 35 samples (18 bipolar and 17 control) were analyzed.GSE80336pubmed27350034
ERR2022828	2017-07-04	Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts	Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts	PRJEB21619	SAMEA104150459	Brain	Protocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.	Brain_p	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.	PAIRED		ILLUMINA											1971079181	Illumina HiSeq 2000 paired end sequencing: Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts	ERS1809477SAMEA104150459Brain9606Homo sapiensProtocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.ENA first public2017-07-04ENA last update2017-07-03External IdSAMEA104150459INSDC center aliasGarvan Institute of Medical ResearchINSDC center nameGarvan Institute of Medical ResearchINSDC first public2017-07-04T17:02:27ZINSDC last update2017-07-03T09:35:26ZINSDC statuspublicSubmitter IdE-MTAB-4519:Brainbroker nameArrayExpresscommon namehumandiseasenormalorganism partbrainsample nameE-MTAB-4519:Brain	ERP023890PRJEB21619E-MTAB-4519E-MTAB-4519Intergenic Disease-associated Regions are Abundant in Novel Regulatory TranscriptsAnalysis of transcriptomes from 21 tissues, 13 melanoma samples and 7 breast cancer cell lines, enriched for transcripts from haploblocks with intronic and intergenic GWAS SNPs using CaptureSeq.Analysis of transcriptomes from 21 tissues, 13 melanoma samples and 7 breast cancer cell lines, enriched for transcripts from haploblocks with intronic and intergenic GWAS SNPs using CaptureSeq.E-MTAB-4519 in ArrayExpresshttp://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4519ENA-FIRST-PUBLIC2017-07-03ENA-LAST-UPDATE2017-07-03ArrayExpressE-MTAB-4519
SRR15013671	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988462	SJLB722	SJLB722		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						3292490976	Illumina HiSeq 2000 sequencing: GSM5412303: SJLB722 Homo sapiens RNA-Seq	SRS9359639SAMN19988462GSM5412303SJLB7229606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexmaleage38	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR2422923	2016-05-05	RNAseq in Alzheimer's Disease patients	Homo sapiens	PRJNA232669	SAMN04090361	RNAseq_Ctrl_6	RNAseq_Ctrl_6		cDNA	TRANSCRIPTOMIC	RNA-Seq	Trizol extraction Illumina High-throughput TruSeq RNA Sample preparation: ribominus selection (Invitrogen) and size selection: 50 - 200bp	PAIRED		ILLUMINA					brain						13163874996	Illumina HiSeq 2500 sequencing: GSM1885085: RNAseq_Ctrl_6 Homo sapiens RNA-Seq	SRS1071432SAMN04090361GSM1885085RNAseq_Ctrl_69606Homo sapiensbioproject232669PRJNA232669source_namecontrol_braindisease statuscontroltissuebraintissue subtypedorsolateral prefrontal cortex	SRP034831PRJNA232669GSE53697RNAseq in Alzheimer's Disease patientsHuman brain samples from control and advanced Alzheimer's Diseased patients were subjected to RNAseq analysis to monitor RNA level changes during AD progression Overall design: Human brain samples were obtained from the Mount Sinai Brain Bank; RNA was Trizol extracted, Ribominus selected and submitted for high-throughput sequencing.GSE53697pubmed26894958parent_bioprojectPRJNA232667
SRR8931999	2019-10-30	A Novel LincRNA HERES Epigenetically Regulates Wnt Signaling Pathway via Interaction with EZH2 in Esophageal Squamous Cell Carcinoma	A Novel LincRNA HERES Epigenetically Regulates Wnt Signaling Pathway via Interaction with EZH2 in Esophageal Squamous Cell Carcinoma	PRJNA533799	SAMN11467200	Patient_07_normal	Patient_07_normal		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from ESCC tissues using TRIzol reagent (Invitrogen) for construction of RNA-seq libraries. The sequencing library was prepared from 1 ug of total RNA using Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Human/Mouse/Rat (RS-122-2203).	PAIRED		ILLUMINA					ESCC						7547482146	Illumina HiSeq 2000 sequencing: GSM3731546: Patient_07_normal Homo sapiens RNA-Seq	SRS4651485SAMN11467200GSM3731546Patient_07_normal9606Homo sapiensbioproject533799PRJNA533799source_nameESCC adjacent normal tissuetissue_typeESCCsample_typenormal	SRP193095PRJNA533799GSE130078A Novel LincRNA HERES Epigenetically Regulates Wnt Signaling Pathway via Interaction with EZH2 in Esophageal Squamous Cell CarcinomaEsophageal squamous cell carcinoma (ESCC), a major type of primary esophageal cancer in developing countries, displays a very poor clinical outcome in five-year survival rate. Although long non-coding RNAs (lncRNAs) exert critical roles in cancer development, the promising therapeutic targets of ESCC-expressed lncRNAs have not been comprehensively examined and their cancer-driving roles remain largely unknown at the mechanistic level. In this study, we aimed to identify ESCC-driving lncRNAs in the transcriptome level and exploit a therapeutic target with understanidng their modes of action. Overall design: High-throughput RNA sequencing (RNA-seq) was performed with rRNA-depleted, total RNAs prepared from paired cancerous and non-cancerous tissues of 23 Korean ESCC patients, and the RNA-seq data were profiled to identify ESCC-driving lncRNAs.GSE130078pubmed31732666
SRR19095764	2022-07-07	Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetes	Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetes	PRJNA835414	SAMN28101139	NGT_020_basal [P7401_133]	NGT_020_basal [P7401_133]	GSM6107935	cDNA	TRANSCRIPTOMIC	RNA-Seq	mRNA was extracted by mirVana miRNA Isolation Kit (ThermoFisher Scientific AM1560). Libraries were generated with TruSeq Stranded total RNA kit (Illumina 20020597) and ribosomal RNA removed with Ribo-Zero Plus rRNA depletion kit (Illumina 20037135)	PAIRED		ILLUMINA					Vastus Lateralis						3364613784	Illumina HiSeq 2500 sequencing: GSM6107935: NGT_020_basal [P7401_133] Homo sapiens RNA-Seq	SRS12904901SAMN28101139GSM6107935NGT_020_basal [P7401_133]9606Homo sapiensbioproject835414PRJNA835414source_nameVastus LateralisdiagnosisNGTtimepointBasalSexmaleage63bmi23.9hba1c38tissueVastus Lateralis	SRP373795PRJNA835414GSE202295Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetesMechanistic insights into the molecular events by which exercise enhances the skeletal muscle phenotype are lacking, particularly in the context of type 2 diabetes. Here we unravel a fundamental role for exercise-responsive cytokines (exerkines) on skeletal muscle development and growth in individuals with normal glucose tolerance or type 2 diabetes. Acute exercise triggered an inflammatory response in skeletal muscle, concomitant with an infiltration of immune cells. These exercise effects were potentiated in type 2 diabetes. In response to contraction or hypoxia, cytokines were mainly produced by endothelial cells and macrophages. The chemokine CXCL12 was induced by hypoxia in endothelial cells, as well as by conditioned medium from contracted myotubes in macrophages. We found that CXCL12 was associated with skeletal muscle remodeling after exercise and differentiation of cultured muscle. Collectively, acute aerobic exercise mounts a non-canonical inflammatory response, with an atypical production of exerkines, which is potentiated in type 2 diabetes. Overall design: Skeletal muscle biopsies were collected from normal glucose tolerant (NGT) and type 2 diabetic (T2D) middle age men, before (rest), just after (post) and 3-hours after (recovery) a 30-minute bout of cycling, at an intensity of 85% of measured maximal heart rate.GSE202295pubmed36070371pubmed38151020
SRR22283278	2023-02-02	COVID-19 patient samples collected by the PREDICT-19 consortium	COVID-19 patient samples collected by the PREDICT-19 consortium	PRJNA901461	SAMN31714437	Whole blood, healthy control, rep 57	Whole blood, healthy control, rep 57		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was isolated from whole blood samples stored and stabilized in PAXgene RNA tubes according to the manufacturer's guidelines (PreAnalytiX) Libraries were prepared with 300ng of total RNA per sample using the Illumina Stranded Total RNA Prep with Ribo-Zero Plus (RZP) as per manufacturer instructions (Illumina, CA, USA).	PAIRED		ILLUMINA					Whole blood						27902892600	Illumina NovaSeq 6000 sequencing: GSM6730847: Whole blood, healthy control, rep 57 Homo sapiens RNA-Seq	SRS15751617SAMN31714437GSM6730847Whole blood, healthy control, rep 579606Homo sapiensbioproject901461PRJNA901461source_nameWhole bloodtissueWhole blooddisease statecontrol	SRP407875PRJNA901461GSE217948COVID-19 patient samples collected by the PREDICT-19 consortiumTo investigate the role of gene expression in patients with COVID-19. Full article available at DOI: 10.1136/bmjopen-2020-044497. Overall design: Comparative gene expression profiling analysis of patients wiith COVID-19 and control samplesGSE217948pubmed36741372pubmed36768847
