Run accession number|Number of base pairs|Tissue type|Cell line|Cell type|UBERON code|UBERON term|DOT code|DOT term|Library strategy|Instrument platform|Donor information
ERR4659273|1545987072|thymus|Primary tissue|NA|UBERON:0002370|thymus|normal|normal|RNA-Seq|ILLUMINA|NA
SRR18363200|4590634073|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR14362364|10525134800|NA|Primary tissue|Cardiomyocyte|UBERON:0000948|heart|DOID:4|disease|RNA-Seq|ILLUMINA|NA
SRR3393497|3058035500|brain|Primary tissue|neuron|UBERON:0000955|brain|normal|normal|RNA-Seq|ILLUMINA|NA
ERR2022828|1971079181|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013671|3292490976|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR2422923|13163874996|NA|Primary tissue|Neuron|UBERON:0009834|dorsolateral prefrontal cortex|DOID:0080348|Alzheimer's disease 1|RNA-Seq|ILLUMINA|NA
SRR8931999|7547482146|NA|value|value|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR19095764|3364613784|NA|Primary tissue|Skeletal muscle cell|UBERON:0000376, UBERON:0001630|hindlimb stylopod, muscle organ|DOID:0110741|type 1 diabetes mellitus 2|RNA-Seq|ILLUMINA|NA
SRR22283278|27902892600|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR16212318|15338222700|endometrium|Primary tissue|epithelial|UBERON:0001295|endometrium|DOID:288|endometriosis of uterus|RNA-Seq|ILLUMINA|NA
SRR1721299|7882875600|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR4785813|17639019724|synovial tissue|Primary tissue|synovial fibroblast|UBERON:0002217|synovial joint|normal|normal|RNA-Seq|ILLUMINA|NA
SRR18363159|1711108148|NA|Primary tissue|Adipocyte|UBERON:0001013|adipose tissue|DOID:0110741|type 1 diabetes mellitus 2|RNA-Seq|ILLUMINA|NA
SRR7094294|6466751396|Blood|Primary tissue|Blood cells|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR25387948|4813409536|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094265|6841367496|Blood|Primary tissue|Blood cells|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR3393496|3645399900|brain|Primary tissue|Neuron|UBERON:0002435|striatum|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013552|7290717888|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR23920439|12950724965|NA|Primary tissue|Enteric smooth muscle cells|UBERON:0001155|colon|DOID:8778|Crohn's disease|RNA-Seq|ILLUMINA|NA
SRR15013467|6125074656|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR16013051|16248197100|NA|Primary tissue|Epithelial|UBERON:0000093|sulcus|DOID:0050866|oral squamous cell carcinoma|RNA-Seq|ILLUMINA|NA
SRR5259641|2417129550|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR3393509|3001876300|Dorsal striatum|Primary tissue|Neuron|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR4240818|11287277712|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR10192694|10484029200|NA|Primary tissue|Neuron|UBERON:0001954|Ammon's horn|normal|normal|RNA-Seq|ILLUMINA|NA
SRR3703035|3576895400|NA|Primary tissue|Thyroid cells|UBERON:0002046|thyroid gland|DOID:3969|papillary thyroid carcinoma|RNA-Seq|ILLUMINA|NA
SRR8518269|16396149000|NA|Primary tissue|Breast epithelial cells|UBERON:0001911|mammary gland|DOID:1612|breast cancer|RNA-Seq|ILLUMINA|NA
SRR11547435|17956181100|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR5259629|1830218900|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094278|7148801708|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR4240784|2606717040|NA|NA|NA|UBERON:0001134|skeletal muscle tissue|normal|normal|RNA-Seq|ILLUMINA|NA
SRR7012371|13769212800|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013504|2922031488|NA|Primary tissue|Hepatocyte|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR7094252|6243790548|NA|NA|NA|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013479|2984300544|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR6937800|2687734500|NA|Primary tissue|Skin cells|UBERON:0002097|skin of body|normal|keloid (!)|RNA-Seq|ILLUMINA|NA
SRR13572929|3891909500|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
