run_accession;sample_title;sample_description;description;study_title;sample_metadata_ncbi;age
ERR4659273;19PBR239;Protocols: detachment of cells from 2d dish, freezing of cultivated cells into RNAlater. TECs: growth onto irradiated 3T3-J2 feeder layer. TICs: cultuvation in MegaCell medium in 2d dish. RNeasy Plus Micro Kit, Qiagen. TruSeq® Stranded Total RNA.;Illumina NovaSeq 6000 sequencing: RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs);RNA-Seq of cultivated (i) bulk human thymic epithelial cells (hTECs) (ii) cortical hTECs (iii) medullary hTECs (iv) human thymic interstitial cells (hTICs);ERS5135567SAMEA737712719PBR2399606Homo sapiensProtocols detachment of cells from 2d dish freezing of cultivated cells into RNAlater TECs growth onto irradiated 3T3 J2 feeder layer TICs cultuvation in MegaCell medium in 2d dish RNeasy Plus Micro Kit Qiagen TruSeq® Stranded Total RNA T04 06 44Z T16 11 37Z SAMEA7377127INSDC center nameIstituto Europeo di OncologiaINSDC first public T04 06 44ZINSDC last update T16 11 37ZINSDC statuspublicSubmitter IdE MTAB 9641 19PBR239broker name cell typethymic interstitial cellcommon namehumandevelopmental stagejuvenile stagediseasenormalgrowth conditioncells cultivated in 2Dorganism partthymussample nameE MTAB 9641 19PBR239scientific nameHomo sapiens;NA
SRR18363200;63_PRE;63_PRE;NextSeq 500 sequencing: GSM5960725: 63_PRE Homo sapiens RNA-Seq;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRS12296039SAMN26788721GSM596072563 PRE9606Homo sapiensbioproject817436PRJNA817436source nameAdipose tissue biopsySexfemaleage64participant id63diagnosisT2DexercisePREtissueAdipose tissue biopsygeo loc namemissingcollection datemissing;NA
SRR14362364;(ICA)-positive IHD undergoing coronary artery bypass surgery, 12-03-15-HSN;(ICA)-positive IHD undergoing coronary artery bypass surgery, 12-03-15-HSN;Illumina HiSeq 4000 sequencing: GSM5271541: (ICA)-positive IHD undergoing coronary artery bypass surgery, 12-03-15-HSN Homo sapiens RNA-Seq;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;SRS8804946SAMN18926144GSM5271541 ICA positive IHD undergoing coronary artery bypass surgery 12 03 15 HSN9606Homo sapiensbioproject726237PRJNA726237source nameHeart Atrial Appendage tissueHeart Atrial Appendage disease state ICA positive;NA
SRR3393497;control-12;control-12;Illumina HiSeq 2000 sequencing: GSM2124743: control-12 Homo sapiens RNA-Seq;Transcriptome profiling of the human dorsal striatum in bipolar disorder;SRS1399509SAMN04859348GSM2124743control 129606Homo sapiensbioproject318642PRJNA318642source namedorsal striatum controlSexfemalerin5 2;NA
ERR2022828;Brain;Protocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;Illumina HiSeq 2000 paired end sequencing: Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;ERS1809477SAMEA104150459Brain9606Homo sapiensProtocols Normal human tissue RNA was obtained from the FirstChoice Tissue Panel Ambion AM6000 and Human Breast Total RNA Ambion AM6952 Melanoma RNA was obtained from patient cell lines including 3 originating from metastasized stage IV melanoma A series and 10 originating from resected lymph nodes from patients with stage 3 disease C series RNA was extracted with RNeasy columns Qiagen RNA was extracted with RNeasy columns Qiagen RNA was DNAse treated with TurboDNase Life Technologies confirmed DNA free RNA integrity was confirmed by Agilent 2100 Bioanalyzer Agilent Technologies rRNA depletion Ribo Zero™ Epicentre was performed on 5μg of total RNA ERCC RNA Spike In Control mix 1 or mix 2 Life Technologies were added to ribodepleted RNA to a final dilution of 1 100 Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit Illumina and 9 12 cycles of pre capture LM PCR performed as required Multiplex library pools were created by mixing equal amounts of 5 pre capture sample libraries and capture hybridization performed on 1 μg of the pooled library Melanoma A series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C series samples were not due to an A series batch effect Post capture LMPCR was performed for 17 cycles SAMEA104150459INSDC center aliasGarvan Institute of Medical ResearchINSDC center nameGarvan Institute of Medical ResearchINSDC first public T17 02 27ZINSDC last update T09 35 26ZINSDC statuspublicSubmitter IdE MTAB 4519 Brainbroker name common namehumandiseasenormalorganism partbrainsample nameE MTAB 4519 Brain;NA
SRR15013671;SJLB722;SJLB722;Illumina HiSeq 2000 sequencing: GSM5412303: SJLB722 Homo sapiens RNA-Seq;A resource for integrated genomic analysis of the human liver;SRS9359639SAMN19988462GSM5412303SJLB7229606Homo sapiensbioproject742971PRJNA742971source nameliver tissuetissueliverSexmaleage38;NA
SRR2422923;RNAseq_Ctrl_6;RNAseq_Ctrl_6;Illumina HiSeq 2500 sequencing: GSM1885085: RNAseq_Ctrl_6 Homo sapiens RNA-Seq;RNAseq in Alzheimer's Disease patients;SRS1071432SAMN04090361GSM1885085RNAseq Ctrl 69606Homo sapiensbioproject232669PRJNA232669source namecontrol braindisease statuscontroltissuebraintissue subtypedorsolateral prefrontal cortex;NA
SRR8931999;Patient_07_normal;Patient_07_normal;Illumina HiSeq 2000 sequencing: GSM3731546: Patient_07_normal Homo sapiens RNA-Seq;A Novel LincRNA HERES Epigenetically Regulates Wnt Signaling Pathway via Interaction with EZH2 in Esophageal Squamous Cell Carcinoma;SRS4651485SAMN11467200GSM3731546Patient 07 normal9606Homo sapiensbioproject533799PRJNA533799source nameESCC adjacent normal tissuetissue typeESCCsample typenormal;NA
SRR19095764;NGT_020_basal [P7401_133];NGT_020_basal [P7401_133];Illumina HiSeq 2500 sequencing: GSM6107935: NGT_020_basal [P7401_133] Homo sapiens RNA-Seq;Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetes;SRS12904901SAMN28101139GSM6107935NGT 020 basal P7401 133 9606Homo sapiensbioproject835414PRJNA835414source nameVastus LateralisdiagnosisNGTtimepointBasalSexmaleage63bmi23 9hba1c38tissueVastus Lateralis;NA
SRR22283278;Whole blood, healthy control, rep 57;Whole blood, healthy control, rep 57;Illumina NovaSeq 6000 sequencing: GSM6730847: Whole blood, healthy control, rep 57 Homo sapiens RNA-Seq;COVID-19 patient samples collected by the PREDICT-19 consortium;SRS15751617SAMN31714437GSM6730847Whole blood healthy control rep 579606Homo sapiensbioproject901461PRJNA901461source nameWhole bloodtissueWhole blooddisease statecontrol;NA
