id_cell,name,synonym,disease
CVCL_B0T9,132 PC3-1-SC-E8,"Z48-5MG-70",""
CVCL_B0T8,132 PL12 SC-D1,"Z48-5MG-63",""
CVCL_E548,15310-LN,"15310-LN;TER461;TER-461;Ter 461;TER479;TER-479;Ter 479;Extract 519",""
CVCL_KA96,16-15,"",""
CVCL_IW91,40a,"","Mouse mesothelioma"
CVCL_B375,490,"490;Mab 7;Mab7",""
CVCL_X345,822,"822;Mab 13;Mab13",""
CVCL_C4ZN,G65G,"",""
CVCL_E549,W7079,"#W7079 REM;REMUS;W7079",""
CVCL_G217,(BF1) 8A3.31,"",""
CVCL_VG99,(L)PC6,"","Lung carcinoma"
CVCL_6479,+/+ (A),"",""
CVCL_6480,+/+ (B),"",""
CVCL_S361,+/+ (C),"",""
CVCL_4977,+/+ Li,"",""
CVCL_3627,+/+ MGT,"","Malignant neoplasms of the mouse mammary gland"
CVCL_3628,+/+ SCT,"","Mouse neoplasms"
CVCL_WM09,0.57,"",""
CVCL_B5B3,0.5alpha,"0.5 alpha",""
CVCL_D1GY,00-143,"","NUT carcinoma"
CVCL_E557,00136,"136",""
CVCL_ZB51,0138F-1,"",""
CVCL_VG31,0162D,"",""
CVCL_VG32,0165D,"",""
CVCL_ZW87,017-PC-A,"PC-A",""
CVCL_ZW88,017-PC-M,"PC-M",""
CVCL_ZW89,017-PC-O,"PC-O",""
CVCL_D2Y7,01Abic immortal clone 2,"","Facioscapulohumeral muscular dystrophy 1"
CVCL_D2Y8,01Abic immortal clone 6,"","Facioscapulohumeral muscular dystrophy 1"
CVCL_XB90,0225-02Sp,"","Lung squamous cell carcinoma"
CVCL_6494,022HU-NSO,"","Mouse plasma cell myeloma"
CVCL_ZB52,0274F-1,"",""
CVCL_ZB53,0274F-2,"",""
CVCL_A2TJ,03-01 fibroblast,"",""
CVCL_A2UI,03-01 iPS 2,"03-01#2",""
CVCL_A2UJ,03-01 iPS 3,"03-01#3",""
CVCL_A2UK,03-01 iPS 4,"03-01#4",""
CVCL_A2UL,03-01 iPS 9,"03-01#9",""
CVCL_A2TK,03-02 fibroblast,"",""
CVCL_A2UM,03-02 iPS 2B,"03-02#2B",""
CVCL_A2UN,03-02 iPS 5,"03-02#5",""
CVCL_A2UP,03-02 iPS 8,"03-02#8",""
CVCL_A2UQ,03-02 iPS 9,"03-02#9",""
CVCL_A2TL,03-03 fibroblast,"",""
CVCL_A2UR,03-03 iPS 2,"03-03#2",""
CVCL_A2US,03-03 iPS 3,"03-03#3",""
CVCL_A2UT,03-03 iPS 4,"03-03#4",""
CVCL_A2TM,03-04 fibroblast,"","Autism spectrum disorder"
CVCL_A2UU,03-04 iPS 1,"03-04#1","Autism spectrum disorder"
CVCL_A2UV,03-04 iPS 3,"03-04#3","Autism spectrum disorder"
CVCL_A2UW,03-04 iPS 5,"03-04#5","Autism spectrum disorder"
CVCL_A2UX,03-04 iPS 6,"03-04#6","Autism spectrum disorder"
CVCL_IP58,0308,"0308-GSC;GSC-0308","Glioblastoma"
CVCL_IJ15,031M-CUMC/INSERM,"031M","Prader-Willi syndrome"
CVCL_C7W5,0342 mel,"","Cutaneous melanoma"
CVCL_YZ96,0363M-1,"",""
CVCL_YZ97,0363M-2,"",""
CVCL_A6HV,0467.3,"","Lesch-Nyhan syndrome"
CVCL_WU68,04T036,"","Lung sarcomatoid carcinoma"
CVCL_V362,051407cb,"970615NSB",""
CVCL_C4MD,059-1.100.5,"",""
CVCL_C4ME,059-1.11.1,"",""
CVCL_C4MF,059-1.20.1,"",""
CVCL_C4MG,059-1.30.1,"",""
CVCL_C4MH,059-1.43.1,"",""
CVCL_C4MI,059-1.51.2,"",""
CVCL_C4MJ,059-1.82.1,"",""
CVCL_Y448,066,"",""
CVCL_IJ16,066MD-CUMC/INSERM,"066MD","Prader-Willi syndrome"
CVCL_A2YX,07-01 fibroblast,"",""
CVCL_A2YY,07-01 iPS 1,"07-01#1;i07-01#1",""
CVCL_A2YZ,07-01 iPS 2,"07-01#2;i07-01#2",""
CVCL_A2ZA,07-01 iPS 4,"07-01#4;i07-01#4",""
CVCL_A4QY,07-02 fibroblast,"",""
CVCL_A4RB,07-02 iPS 10,"07-02#10;i07-02#10",""
CVCL_A4QZ,07-02 iPS 3,"07-02#3;i07-02#3",""
CVCL_A4RA,07-02 iPS 5,"07-02#5;i07-02#5",""
CVCL_A2ZB,07-03 fibroblast,"","Autism spectrum disorder"
CVCL_A2ZC,07-03 iPS 3,"07-03#3;i07-03#3","Autism spectrum disorder"
CVCL_A2ZD,07-03 iPS 7,"07-03#7;i07-03#7","Autism spectrum disorder"
CVCL_A2ZE,07-03 iPS 9,"07-03#9;i07-03#9","Autism spectrum disorder"
CVCL_J077,07-4D,"",""
CVCL_6G61,07-S-00250100,"",""
CVCL_IP59,0822,"0822-GSC;GSC-0822","Glioblastoma"
CVCL_B6YG,0840-FusionRed,"","Canine transitional cell carcinoma"
CVCL_B6YH,0846-FusionRed,"","Canine prostate carcinoma"
CVCL_T913,090727 LQT3/BrS g1,"","Long QT syndrome 3"
CVCL_T914,090727 LQT3/BrS g2,"","Long QT syndrome 3"
CVCL_VG29,09097B,"",""
CVCL_VG25,09097C,"","Costello syndrome"
CVCL_C5A0,1-10 [Mouse hybridoma against mouse Rnf2],"",""
CVCL_B0PX,1-10 [Mouse hybridoma against ouabain],"",""
CVCL_B6WZ,1-10-1,"",""
CVCL_C0WE,1-11,"",""
CVCL_C0E0,1-11A,"",""
CVCL_B3Y8,1-12,"",""
CVCL_C0WF,1-17,"",""
CVCL_C5PU,1-185-37,"","Myasthenia gravis"
CVCL_C5PV,1-187-29,"","Myasthenia gravis"
CVCL_XI59,1-19-1,"",""
CVCL_DB54,1-1A4,"",""
CVCL_DB55,1-1D5,"",""
CVCL_8653,1-1ras1000,"",""
CVCL_8654,1-1src,"",""
CVCL_B3Y9,1-2,"",""
CVCL_C1J3,1-2322-455,"1-2322",""
CVCL_C0WG,1-24,"",""
CVCL_C5HH,1-26-1,"",""
CVCL_Y308,1-29-7,"",""
CVCL_B6X0,1-35-1,"",""
CVCL_C0WH,1-4,"",""
CVCL_XI60,1-5-2,"",""
CVCL_2260,1-5c-4,"Clone 1-5c-4;Clone 1-5c-4 WKD of Chang Conjunctiva;Wong-Kilbourne derivative of Chang conjunctiva;ChWK","Human papillomavirus-related cervical adenocarcinoma"
CVCL_B3YA,1-6,"",""
CVCL_C8TZ,1-7,"",""
CVCL_T367,1-8,"",""
CVCL_D231,1-87,"","Lung adenocarcinoma"
CVCL_B3YB,1-9,"",""
CVCL_C1J4,1-903-430,"1-903",""
CVCL_9V12,1-A2,"",""
CVCL_D4XN,1-A5,"",""
CVCL_D4XP,1-B1,"",""
CVCL_XB14,1-F10,"",""
CVCL_XD10,1-H4,"",""
CVCL_L211,1-LN,"1LN;1-LN-PC-3-1A;1LN-PC31A","Prostate carcinoma"
CVCL_D4B2,1-NKAD3,"",""
CVCL_C5WS,1.1,"",""
CVCL_C8GH,1.11,"","Renal cell carcinoma"
CVCL_C8GI,1.18,"","Renal cell carcinoma"
CVCL_LC22,1.1ASML,"A2.6",""
CVCL_1778,1.1B4,"",""
CVCL_2257,1.1E7,"",""
CVCL_C8GJ,1.24,"","Renal cell carcinoma"
CVCL_C8GK,1.26,"","Renal cell carcinoma"
CVCL_2258,1.2B4,"",""
CVCL_AP65,1.2C7,"",""
CVCL_2259,1.4E7,"",""
CVCL_D7DF,1.51,"",""
CVCL_WM10,1.59,"",""
CVCL_AP64,1.5A9,"",""
CVCL_E2SL,1.82,"",""
CVCL_KR63,1.90.6,"1.90",""
CVCL_E4F6,1.A16,"",""
CVCL_E4F7,1.A18,"",""
CVCL_E4F8,1.A21,"",""
CVCL_E4F9,1.B6,"",""
CVCL_LB75,1/2Pea,"","Devil facial tumor disease 1"
CVCL_XX77,1/39,"",""
CVCL_U069,10(AAT) Clone A,"",""
CVCL_B376,10-1.D.2,"10.1.D2",""
CVCL_D1H0,10-15,"NMC1015","NUT carcinoma"
CVCL_B6X1,10-2,"",""
CVCL_B377,10-2.16,"",""
CVCL_C3VW,10-25,"",""
CVCL_B378,10-3.6.2,"",""
CVCL_B7UW,10-4A,"",""
