ID,kmer_coverage,bioproject,biosample,bioproject_title,bioproject_description,sample_acc,assay_type,center_name,experiment,sample_name,organism,longitude,latitude,selected_location,locations,disease_source,disease_text,do_label,do_id,tissue,tissue_source,tissue_text,bto_id,contigs_n50,contigs_nbseq,contigs_maxlen,contigs_sumlen,unitigs_n50,unitigs_nbseq,unitigs_maxlen,unitigs_sumlen,instrument,librarylayout,libraryselection,librarysource,library_name,platform,sra_study,releasedate,mbytes,avgspotlen,mbases,biosamplemodel_sam,collection_date_sam,location_count,location_avg_coverage,location_max_coverage,location_min_coverage,location_med_coverage
SRR16077671,1.0,PRJNA766425,SAMN21845829,T cell transriptome in chromosome 22q11.2 deletion syndrome,"We performed transcriptome analysis via RNA sequencing of T cells isolated from participants with and without 22qDS and T cells of 22qDS participants with low or normal number of T cells.
Overall design: A single-centered study involving a convenience sample of participants along with retrospective chart review. This IRB approved study included patients referred to a multidisciplinary clinic for management of chromosome 22q11.2 deletion syndrome. Healthy controls were recruited by recruitment announcements in the hospital. Peripheral blood was collected from participants aged 5-8 years. Immune function testing was performed. RNA sequencing was completed on isolated T cells; and differential gene expression profiles of T cells between 22qDS and healthy controls were established.",SRS10335528,RNA-Seq,GEO,SRX12364164,GSM5597482,Homo sapiens,,,,,condition,22q11.2 deletion syndrome,DiGeorge syndrome,DOID_11198,,,,,349.0,1074312.0,16010.0,173003870.0,92,6825747,3714,468144207,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,,ILLUMINA,SRP338763,2022-06-26,3733,200,6001,,,0,,,,
SRR22214551,1.0,PRJNA899000,SAMN31636079,Targeting Glutaminolysis Shows Efficacy in Both Prednisolone-Sensitive and in Metabolically Rewired Prednisolone-Resistant B-Cell Childhood Acute Lymphoblastic Leukaemia Cells,"In spite of the considerable progress in risk stratification and therapeutic regimens in childhood acute lymphoblastic leukaemia (cALL), which has led to cure rates of above 90%, prognosis for patients with relapsed disease remains poor. The main cause of therapy failure is drug resistance, most commonly to glucocorticoids (GCs). While alterations of cell metabolism in cALL are considered a hallmark of this malignancy as well, the molecular differences between prednisolone sensitive and resistant lymphoblasts are not well-studied, thereby precluding the development of novel and targeted therapies. Therefore, the aim of this work was to investigate the biology of matched pairs of cell lines where GCs are effective and such with acquired lack of response to prednisolone. In order to address this, we took advantage of the molecular characterisation of an in vitro model of GC resistance we had previously developed. An integrated transcriptomic and metabolomic analysis revealed alterations in oxidative phosphorylation, glycolysis, amino acid, pyruvate and nucleotide biosynthesis, as well as activation of mTORC1 and MYC signaling, which are also known to control cell metabolism. In attempt to explore the potential therapeutic effect of inhibiting one of the hits from our analysis, we targeted the glutamine-glutamate-α-ketoglutarate axis by three different strategies, all of which impaired mitochondrial respiration and ATP production and induced apoptosis in both GC-sensitive and resistant cell lines. In summary, we report that prednisolone resistance may be accompanied by considerable rewiring of transcriptional and biosynthesis programs. We suggest that targeting glutamine metabolism presents a novel therapeutic approach in cALL.
Overall design: Comparing biological triplicates of prednisolone sensitive (Sup-B15) and resistant (Sup-PR) childhood acute lymphoblastic leukaemia cells.",SRS15690706,RNA-Seq,"MEDICAL BIOLOGY, MEDICAL UNIVERSITY OF PLOVDIV",SRX18192507,GSM6718728,Homo sapiens,,,,,cell_type,acute lymphoblastic leukaemia lymphoblastic leukaemia,acute lymphoblastic leukemia,DOID_9952,,,,,503.0,437555.0,13530.0,85677677.0,49,7080475,3618,356167495,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,GSM6718728,ILLUMINA,SRP406608,2023-02-19,2709,300,8927,,,0,,,,
SRR11811424,1.0,PRJNA633808,SAMN14970898,Adipocytes disrupt the translational programme of Acute Lymphoblastic Leukaemia to favour tumour survival and persistence [Nalm-6],"Reprogramming of bone marrow microenvironments (BMMs) is a key process by which ALL cells gain resilience however the specific adaptations that facilitate primary disease and ALL survival after induction chemotherapy remain unclear. Using temporal analysis of clinical biopsies we identify that BM adipocytes are profoundly remodelled during ALL pathogenesis and treatment transitioning from cellular depletion within the primary leukaemia niche to a fully restored state upon remission treatment highlighting the specific and selective participation of adipocyte stroma in the chemotherapy context.  The functional relevance of these dynamics was revealed through modelling studies demonstrating that adipocytes non- cell autonomously regulate ALL development by reducing proliferative capacity whilst simultaneously increasing leukaemia cell quiescence. Thus, adipocyte dynamics mark a transition in the functional organisation of BMM from one that favours emergent ALL to an adverse setting for chemotherapeutic effects. Mechanistically, we show that adipocyte induced tumour suppression, accompanies rapid but reversible non canonical translational arrest revealing a novel regulatory relationship that executes at the level of the leukaemia proteome to lower ALL expansion. Importantly, adipocyte remodelled ALL proteomes adopt a distinct, reversible, stress-resistant state which was independent of cell cycle status underscoring the importance of therapy emergent adipocyte niches in conferring global tumour cell protection. These studies reveal the critical contribution of adipocyte mediated repression of the ALL proteome as another mode of microenviromental intervention advantaging ALL tumours to prevent their elimination. 
Overall design: RNA-seq experiment with n=3 biological replicates of Nalm-6 co-cultured with 3T3-L1 Pre-adipocytes or 3T3-L1 Adipocytes as described",SRS6678582,RNA-Seq,GEO,SRX8362691,GSM4559452,Homo sapiens,,,,,cell_type,acute lymphoblastic leukaemia lymphoblastic leukaemia,acute lymphoblastic leukemia,DOID_9952,,,,,251.0,2495752.0,11782.0,245620436.0,46,20091786,3202,972120032,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,,ILLUMINA,SRP262301,2020-05-21,6979,300,22269,,,0,,,,
SRR7281344,1.0,PRJNA475264,SAMN09382911,RNA-seq in 73 B-lineage ALL patients,"RNA-seq from RNA isolated from bone marrow or peripheral blood of newly diagnosed acute lymphoblastic leukemia patients on TotalXVI protocol
Overall design: LC50 determination performed with concordant RNA-seq expression analysis",SRS3396275,RNA-Seq,GEO,SRX4184898,GSM3181477,Homo sapiens,,,,,tissue,acute lymphoblastic leukemia leukemia lymphoblastic leukemia,acute lymphoblastic leukemia,DOID_9952,,,,,372.0,1673630.0,15978.0,258590424.0,62,12721063,2951,756989815,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,,ILLUMINA,SRP150079,2020-01-25,4089,202,8652,,,0,,,,
SRR19879259,1.0,PRJNA853380,SAMN29387280,Molecular classificaiton of ALL with whole transcriptome sequencing analysis in a Taiwan cohort,"Purpose: Next-generation sequencing (NGS) has revolutionized accurate molecular classification of leukemia. The goal of this study is to show the value of a sequential approach to classify the leukemia with various data types.
Overall design: Gene expression profiles of pediatric acute lymphoblastic leukemia",SRS13611086,RNA-Seq,"DEPARTMENT OF LABORATORY MEDICINE AND PEDIATRICS, NATIONAL TAIWAN UNIVERSITY",SRX15922702,GSM6276454,Homo sapiens,,,,,disease,acute lymphoblastic leukemia leukemia lymphoblastic leukemia,acute lymphoblastic leukemia,DOID_9952,,,,,241.0,2084198.0,10627.0,196737077.0,40,16053623,2284,756799607,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,GSM6276454,ILLUMINA,SRP383855,2022-08-03,1869,272,12712,,,0,,,,
SRR14243990,1.0,PRJNA722255,SAMN18747751,Single-cell RNA-seq of T cells in B-ALL patients reveals an exhausted subset with remarkably heterogeneity,"Characterization of functional T cell clusters is key to developing strategies for immunotherapy and predicting clinical responses in leukemia. Here, we performed single-cell RNA sequencing (scRNA-seq) with T cells sorted from the peripheral blood of healthy individuals and patients with B cell-acute lymphoblastic leukemia (B-ALL). Unbiased bioinformatics analysis enabled us to identify 13 T cell clusters in the patients based on their molecular properties. All 11 major T cells subsets in healthy individuals were found in the patients with B-ALL, with the counterparts in the patients universally showing more activated characteristics. Two exhausted T cell populations, characterized by up-regulation of TIGIT, PDCD1, HLADRA, LAG3, and CTLA4 were specifically discovered in B-ALL patients. Of note, these exhausted T cells possessed remarkable heterogeneity, and ten sub-clusters were further identified, which were characterized by different cell cycle phase, naïve states, and GNLY (coding granulysin) expression. Coupled with single-cell T cell receptor repertoire profiling, we suggested diverse originations of the exhausted T cells in B-ALL, and clonally expanded exhausted T cells were likely to originate from CD8+ effector memory/terminal effector cells. Together, these data provide for the first-time valuable insights for understanding exhausted T cell populations in leukemia.
Overall design: Single cell RNA-seq with 28,812 T cells sorted from the peripheral blood of healthy individuals and patients with B cell-acute lymphoblastic leukemia, as well as T-cell receptor repertoire sequencing from one of the healthy individuals and the same patients.",SRS8707758,RNA-Seq,GEO,SRX10606622,GSM5242827,Homo sapiens,,,,,disease,acute lymphoblastic leukemia leukemia lymphoblastic leukemia,acute lymphoblastic leukemia,DOID_9952,,,,,34.0,15782121.0,6993.0,768773089.0,36,211937965,1272,8296268994,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,,ILLUMINA,SRP314973,2021-09-09,58436,300,183554,,,0,,,,
SRR14243986,1.0,PRJNA722255,SAMN18747755,Single-cell RNA-seq of T cells in B-ALL patients reveals an exhausted subset with remarkably heterogeneity,"Characterization of functional T cell clusters is key to developing strategies for immunotherapy and predicting clinical responses in leukemia. Here, we performed single-cell RNA sequencing (scRNA-seq) with T cells sorted from the peripheral blood of healthy individuals and patients with B cell-acute lymphoblastic leukemia (B-ALL). Unbiased bioinformatics analysis enabled us to identify 13 T cell clusters in the patients based on their molecular properties. All 11 major T cells subsets in healthy individuals were found in the patients with B-ALL, with the counterparts in the patients universally showing more activated characteristics. Two exhausted T cell populations, characterized by up-regulation of TIGIT, PDCD1, HLADRA, LAG3, and CTLA4 were specifically discovered in B-ALL patients. Of note, these exhausted T cells possessed remarkable heterogeneity, and ten sub-clusters were further identified, which were characterized by different cell cycle phase, naïve states, and GNLY (coding granulysin) expression. Coupled with single-cell T cell receptor repertoire profiling, we suggested diverse originations of the exhausted T cells in B-ALL, and clonally expanded exhausted T cells were likely to originate from CD8+ effector memory/terminal effector cells. Together, these data provide for the first-time valuable insights for understanding exhausted T cell populations in leukemia.
Overall design: Single cell RNA-seq with 28,812 T cells sorted from the peripheral blood of healthy individuals and patients with B cell-acute lymphoblastic leukemia, as well as T-cell receptor repertoire sequencing from one of the healthy individuals and the same patients.",SRS8707754,RNA-Seq,GEO,SRX10606618,GSM5242823,Homo sapiens,,,,,disease,acute lymphoblastic leukemia leukemia lymphoblastic leukemia,acute lymphoblastic leukemia,DOID_9952,,,,,33.0,31228769.0,6138.0,1314514314.0,37,296374267,842,11692533572,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,,ILLUMINA,SRP314973,2021-09-09,60050,300,185195,,,0,,,,
SRR13221331,1.0,PRJNA683653,SAMN17034102,M16-106 adult and pediatric ALL clinical trial - RNAseq dataset,"Combining venetoclax, a selective BCL-2 inhibitor, with low-dose navitoclax, a BCL-XL/BCL-2 inhibitor, may potentiate therapeutic BCL-2 and BCL XL inhibition without dose-limiting thrombocytopenia associated with navitoclax monotherapy. The safety and preliminary efficacy of venetoclax with low-dose navitoclax and chemotherapy was assessed in this phase 1 dose escalation study (NCT03181126) in pediatric and adult patients with relapsed/refractory acute lymphoblastic leukemia or lymphoblastic lymphoma. Forty-seven patients received treatment. A recommended phase 2 dose of 50 mg navitoclax for adults and 25 mg for patients <45 kg with 400 mg adult-equivalent venetoclax was identified. Delayed hematopoietic recovery was the primary safety finding. The complete remission rate was 60%, including responses in patients who had previously received hematopoietic cell transplantation or immunotherapy. Thirteen (28%) patients proceeded to transplantation or CAR T-cell therapy on study. Venetoclax with navitoclax and chemotherapy was well tolerated and had promising efficacy in this heavily pretreated patient population.
Overall design: The M16-106 trial tested Venetoclax in combination with Navitoclax in adult and pediatric patients with relapsed/refractory ALL. Tumor samples were collected at baseline, total stranded transcriptome sequencing was performed using the TruSeq Stranded Total RNA library preparation kit and sequencing performed using HiSeq 4000 and NovaSeq 6000 platforms (Illumina). The low input RNA library preparation kit (NuGen Ovation V2) was used for samples with limiting material.",SRS7853118,RNA-Seq,GEO,SRX9653809,GSM4964829,Homo sapiens,,,,,diagnosis,acute lymphoblastic leukemia leukemia lymphoblastic leukemia,acute lymphoblastic leukemia,DOID_9952,,,,,381.0,1915532.0,10525.0,286945131.0,61,13648117,3122,805723190,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,,ILLUMINA,SRP297143,2021-02-17,3644,202,12649,,,0,,,,
ERR9743358,1.0,PRJEB52941,SAMEA14414578,Transcriptomic analysis of pediatric T-cell acute lymphoblastic leukemia,"The aim of this study was to investigate the transcriptome of 54 primary samples of pediatric patients diagnosed with T-cell acute lymphoblastic leukemia. Samples were collected before treatment. Sequencing libraries were obtained with Illumina TruSeq Stranded mRNA protocol, with modified conditions of RNA fragmentation (90°C for 2 minutes). All libraries were sequenced on Illumina NovaSeq6000 platform, in 2x150PE mode (paired end sequencing with 150 nt reads), with a coverage of 150M reads/sample.",ERS12019586,RNA-Seq,Macrogen,ERX9291831,SAMEA14414578,Homo sapiens,,,,,disease,acute lymphoblastic leukemia leukemia lymphoblastic leukemia,acute lymphoblastic leukemia,DOID_9952,bone marrow,tissue,bone marrow,BTO_0000141,315.0,2526522.0,9746.0,325257081.0,43,27761900,3991,1304997714,Illumina NovaSeq 6000,PAIRED,PolyA,TRANSCRIPTOMIC,2155_PA_P3_p,ILLUMINA,ERP137694,2022-07-23,8455,302,27509,,,0,,,,
ERR9743339,1.0,PRJEB52941,SAMEA14414559,Transcriptomic analysis of pediatric T-cell acute lymphoblastic leukemia,"The aim of this study was to investigate the transcriptome of 54 primary samples of pediatric patients diagnosed with T-cell acute lymphoblastic leukemia. Samples were collected before treatment. Sequencing libraries were obtained with Illumina TruSeq Stranded mRNA protocol, with modified conditions of RNA fragmentation (90°C for 2 minutes). All libraries were sequenced on Illumina NovaSeq6000 platform, in 2x150PE mode (paired end sequencing with 150 nt reads), with a coverage of 150M reads/sample.",ERS12019567,RNA-Seq,Macrogen,ERX9291812,SAMEA14414559,Homo sapiens,,,,,disease,acute lymphoblastic leukemia leukemia lymphoblastic leukemia,acute lymphoblastic leukemia,DOID_9952,bone marrow,tissue,bone marrow,BTO_0000141,333.0,2129700.0,11028.0,302481983.0,43,26176119,4931,1236828445,Illumina NovaSeq 6000,PAIRED,PolyA,TRANSCRIPTOMIC,1654_PA_P3_p,ILLUMINA,ERP137694,2022-07-23,8683,302,28265,,,0,,,,
