code_uberon,name,synonym
UBERON:0000000,processual entity,""
UBERON:0000002,uterine cervix,"canalis cervicis uteri;caudal segment of uterus;cervical canal;cervical canal of uterus;cervix;cervix of uterus;cervix uteri;neck of uterus;uterine cervix"
UBERON:0000003,naris,""
UBERON:0000004,nose,"nasal sac;nasus;nose;olfactory apparatus;peripheral olfactory organ;proboscis"
UBERON:0000005,chemosensory organ,"chemosensory sensory organ"
UBERON:0000006,islet of Langerhans,"island of Langerhans;island of pancreas;islets of Langerhans;pancreatic insula;pancreatic islet"
UBERON:0000007,pituitary gland,"glandula pituitaria;Hp;hypophysis;hypophysis cerebri;pituitary;pituitary body"
UBERON:0000009,submucosa,"organ submucosa;region of submucosa;submucosa of organ;submucosa of region of organ;submucous layer;tela submucosa;tunica submucosa"
UBERON:0000010,peripheral nervous system,"pars peripherica;PNS;systema nervosum periphericum"
UBERON:0000011,parasympathetic nervous system,"parasympathetic part of autonomic division of nervous system;pars parasympathica divisionis autonomici systematis nervosi;pars parasympathica divisionis autonomici systematis nervosi;PNS - parasympathetic"
UBERON:0000012,somatic nervous system,"PNS - somatic;somatic nervous system, somatic division;somatic part of peripheral nervous system;somatic peripheral nervous system"
UBERON:0000013,sympathetic nervous system,"pars sympathica divisionis autonomici systematis nervosi;pars sympathica divisionis autonomici systematis nervosi;sympathetic nervous system;sympathetic part of autonomic division of nervous system"
UBERON:0000014,zone of skin,"portion of skin;region of skin;skin;skin region;skin zone"
UBERON:0000015,non-material anatomical boundary,"anatomical boundary"
UBERON:0000016,endocrine pancreas,"endocrine pancreas;endocrine part of pancreas;islets of Langerhans part of pancreas;pars endocrina pancreatis"
UBERON:0000017,exocrine pancreas,"exocrine component of pancreas;exocrine pancreas;exocrine part of pancreas;pars exocrina pancreatis"
UBERON:0000018,compound eye,"adult compound eye;faceted eye;Facettenauge;insect eye;Komplexauge;zusammengesetztes Auge"
UBERON:0000019,camera-type eye,"camera-type eye plus associated structures;eye;eyes;orbital part of face;orbital region;regio orbitalis;vertebrate eye"
UBERON:0000020,sense organ,"organ of sense organ system;organ of sensory organ system;organ of sensory system;sense organ system organ;sensillum;sensor;sensory organ;sensory organ system organ;sensory system organ;Sinnesorgan"
UBERON:0000021,cutaneous appendage,"epidermal appendage;epidermal growth;skin appendage"
UBERON:0000022,feather,""
UBERON:0000023,wing,"aliform appendage"
UBERON:0000024,forelimb wing,""
UBERON:0000025,tube,"anatomical tube;duct"
UBERON:0000026,appendage,"appendages;extremitaet;extremity;limbs/digits/tail"
UBERON:0000029,lymph node,"lymph gland;nodus lymphaticus"
UBERON:0000030,lamina propria,"lamina propria mucosa;lamina propria mucosae;tunica propria"
UBERON:0000031,lamina propria of trachea,"lamina propria mucosa of trachea;lamina propria mucosa of windpipe;lamina propria mucosae of trachea;lamina propria mucosae of windpipe;lamina propria of windpipe;trachea lamina propria;trachea lamina propria mucosa;trachea lamina propria mucosae;tracheal lamina propria;windpipe lamina propria;windpipe lamina propria mucosa;windpipe lamina propria mucosae"
UBERON:0000032,obsolete cranial structure,""
UBERON:0000033,head,"adult head;cephalic area;head (volume)"
UBERON:0000035,primary ovarian follicle,"folliculus ovaricus primarius;ovary primary follicle;preantral follicle of ovary;primary egg follicle;primary follicle;primary follicle of ovary;primary ovarian follicle"
UBERON:0000036,secondary ovarian follicle,"antral follicle of ovary;folliculus ovaricus secondarius;ovary secondary follicle;pre-antral follicle;pre-ovulatory follicle;preantral follicle;secondary egg follicle;secondary follicle;secondary follicle of ovary"
UBERON:0000037,tertiary ovarian follicle,"antral follicle;antral ovarian follicle;folliculi ovarici vesiculosi;folliculus ovaricus tertiarius;folliculus ovaricus tertiarius (vesiculosus);folliculus ovaricus tertiarius (vesiculous);Graafian follicle;ovary antral follicle;tertiary egg follicle;tertiary follicle of ovary;vesicular follicle of ovary;vesicular ovarian follicle"
UBERON:0000038,follicular fluid,"antral fluid, ovarian follicle;liquor follicularis;liquor folliculi;liquor folliculi;ovarian follicular fluid;ovary follicle fluid;ovary follicular fluid"
UBERON:0000039,follicular antrum,"antral cavity;antrum folliculare;antrum follicularum;ovarian follicle antrum"
UBERON:0000040,Leydig's organ,""
UBERON:0000041,odontode scale,"dermal denticle;odontode scale;placoid scale"
UBERON:0000042,serous membrane,"serosa;tunica serosa;wall of serous sac"
UBERON:0000043,tendon,"sinew;tendo"
UBERON:0000044,dorsal root ganglion,"dorsal root ganglia;dorsal root ganglion;DRG;ganglion of dorsal root;ganglion sensorium nervi spinalis;ganglion spinale;ganglion spinalis;posterior root ganglion;spinal ganglion;spinal ganglion part of peripheral nervous system"
UBERON:0000045,ganglion,"ganglia;neural ganglion"
UBERON:0000046,stemma,"pit eye"
UBERON:0000047,simple eye,""
UBERON:0000048,pinhole eye,""
UBERON:0000049,spherical lensed eye,""
UBERON:0000050,simple eye with multiple lenses,""
UBERON:0000051,fornix of vagina,"fornix;fornix vaginae;vaginal fornices;vaginal fornix"
UBERON:0000052,fornix of brain,"brain fornix;cerebral fornix;forebrain fornix;fornix;fornix (column and body of fornix);fornix cerebri;fornix hippocampus;fornix of neuraxis;hippocampus fornix;neuraxis fornix"
UBERON:0000053,macula lutea,"macula;macula flava retinae;macula retinae;maculae"
UBERON:0000054,macula,"acoustic macula;acoustic maculae;macula;maculae;sensory macula;sensory patch"
UBERON:0000055,vessel,""
UBERON:0000056,ureter,"metanephric duct"
UBERON:0000057,urethra,""
UBERON:0000058,duct,"anatomical duct;ducts;exocrine duct;exocrine gland duct"
UBERON:0000059,large intestine,"intestinum crassum"
UBERON:0000060,anatomical wall,"organ wall;wall;wall of organ"
UBERON:0000061,anatomical structure,"biological structure;connected biological structure"
UBERON:0000062,organ,"anatomical unit;body organ;element"
UBERON:0000063,organ subunit,"organ region with fixed fiat boundary;organ segment;segment of organ"
UBERON:0000064,organ part,"cardinal organ part;regional part of organ"
UBERON:0000065,respiratory tract,""
UBERON:0000066,fully formed stage,"adult stage;fully formed animal stage;juvenile-adult stage"
UBERON:0000067,obsolete embryo stage part,"embryonic stage part"
UBERON:0000068,embryo stage,"embryogenesis;embryonic stage"
UBERON:0000069,larval stage,"ammocoete;ammocoete stage;bipinnaria;bipinnaria stage;caterpillar;caterpillar stage;glochidium;glochidium stage;grub;grub stage;larva;larva stage;leptocephalus;leptocephalus stage;maggot;maggot stage;metacestode;naiad, nymph;naiad, nymph stage;nauplius;nauplius stage;nymph;nymph stage;planula;planula stage;tornaria;trochophore;trochophore stage;veliger;veliger stage;wriggler;wriggler stage;zoea;zoea stage"
UBERON:0000070,pupal stage,"aurelia stage;chrysalides stage;chrysalis stage;pupa stage"
UBERON:0000071,death stage,"death"
UBERON:0000072,proximo-distal subdivision of respiratory tract,"respiratory tract;subdivision of respiratory tract"
UBERON:0000073,regional part of nervous system,"part of nervous system"
UBERON:0000074,renal glomerulus,"glomerular capillary tuft;glomerular tuft;glomerulus;glomerulus renis;Malphigian glomerulus;Malpighian glomerulus;Malpighian tuft;renal corpuscle;renal glomeruli"
UBERON:0000075,subdivision of skeletal system,"skeletal system part;skeletal system subdivision"
UBERON:0000076,external ectoderm,"surface (external) ectoderm;surface ectoderm"
UBERON:0000077,mixed endoderm/mesoderm-derived structure,""
UBERON:0000078,mixed ectoderm/mesoderm/endoderm-derived structure,""
UBERON:0000079,male reproductive system,"genitalia of male organism;male genital organ;male genital system;male genital tract;male genitalia;male genitals;male organism genitalia;male organism reproductive system;male reproductive tract;reproductive system of male organism;systema genitale masculinum"
UBERON:0000080,mesonephros,"amphibian adult kidney;corpus Wolffi;mesonephric kidney;mesonephroi;middle kidney;opisthonephros;opisto nephros;opistonephros;Wolffian body"
UBERON:0000081,metanephros,"definite kidney;definitive kidney;hind kidney;metanephric kidney;metanephron"
UBERON:0000082,adult mammalian kidney,""
UBERON:0000083,mesonephric tubule,"renal tubules;tubuli mesonephrici"
UBERON:0000084,ureteric bud,"diverticulum;diverticulum metanephricum;gemma ureterica;metanephric bud;metanephric diverticulum;ureteric ampulla;ureteric diverticulum"
UBERON:0000085,morula,"morula (2-16 cells)"
UBERON:0000086,zona pellucida,"oolemma;pellucid zone;striated membrane;vitelline envelope;vitelline membrane;zona pellucida - vitelline membrane;zona radiata;zona striata"
UBERON:0000087,inner cell mass,"early embryoblast;embryoblast;embryoblastus; massa cellularis interna; pluriblastus senior;ICM;pluriblast"
UBERON:0000088,trophoblast,"massa cellularis externa;trophoblast layer;trophoblastus;trophoderm"
UBERON:0000089,hypoblast (generic),"endomesoderm;future endoderm and mesoderm;hypoblast;hypoblastus;mesendoderm"
