run_accession,tissue_lib,cell_line,cell_type,tissue_type,Gtex
ERR2022826,,,,,Adipose
SRR18363091,,,,Adipose tissue biopsy,Adipose
SRR18363094,,,,Adipose tissue biopsy,Adipose
SRR18363101,,,,Adipose tissue biopsy,Adipose
SRR18363104,,,,Adipose tissue biopsy,Adipose
SRR18363111,,,,Adipose tissue biopsy,Adipose
SRR18363116,,,,Adipose tissue biopsy,Adipose
SRR18363122,,,,Adipose tissue biopsy,Adipose
SRR18363123,,,,Adipose tissue biopsy,Adipose
SRR18363125,,,,Adipose tissue biopsy,Adipose
SRR18363134,,,,Adipose tissue biopsy,Adipose
SRR18363137,,,,Adipose tissue biopsy,Adipose
SRR18363140,,,,Adipose tissue biopsy,Adipose
SRR18363156,,,,Adipose tissue biopsy,Adipose
SRR18363157,,,,Adipose tissue biopsy,Adipose
SRR18363162,,,,Adipose tissue biopsy,Adipose
SRR18363177,,,,Adipose tissue biopsy,Adipose
SRR18363207,,,,Adipose tissue biopsy,Adipose
SRR18363210,,,,Adipose tissue biopsy,Adipose
SRR18363216,,,,Adipose tissue biopsy,Adipose
SRR18363146,,,,Adipose tissue biopsy,Adipose
SRR18363097,,,,Adipose tissue biopsy,Adipose
SRR18363214,,,,Adipose tissue biopsy,Adipose
SRR18363119,,,,Adipose tissue biopsy,Adipose
SRR18363128,,,,Adipose tissue biopsy,Adipose
SRR18363131,,,,Adipose tissue biopsy,Adipose
SRR18363151,,,,Adipose tissue biopsy,Adipose
SRR18363154,,,,Adipose tissue biopsy,Adipose
SRR18363169,,,,Adipose tissue biopsy,Adipose
SRR18363179,,,,Adipose tissue biopsy,Adipose
SRR18363182,,,,Adipose tissue biopsy,Adipose
SRR18363190,,,,Adipose tissue biopsy,Adipose
SRR18363193,,,,Adipose tissue biopsy,Adipose
SRR18363197,,,,Adipose tissue biopsy,Adipose
SRR18363200,,,,Adipose tissue biopsy,Adipose
SRR18363220,,,,Adipose tissue biopsy,Adipose
SRR18363225,,,,Adipose tissue biopsy,Adipose
SRR18363084,,,,Adipose tissue biopsy,Adipose
SRR18363087,,,,Adipose tissue biopsy,Adipose
SRR18363090,,,,Adipose tissue biopsy,Adipose
SRR18363108,,,,Adipose tissue biopsy,Adipose
SRR18363114,,,,Adipose tissue biopsy,Adipose
SRR18363143,,,,Adipose tissue biopsy,Adipose
SRR18363159,,,,Adipose tissue biopsy,Adipose
SRR18363165,,,,Adipose tissue biopsy,Adipose
SRR18363171,,,,Adipose tissue biopsy,Adipose
SRR18363174,,,,Adipose tissue biopsy,Adipose
SRR18363185,,,,Adipose tissue biopsy,Adipose
SRR18363213,,,,Adipose tissue biopsy,Adipose
ERR5320467,,,,,Adipose - Subcutaneous
ERR5320469,,,,,Adipose - Subcutaneous
ERR5320471,,,,,Adipose - Subcutaneous
ERR5320477,,,,,Adipose - Subcutaneous
ERR5320479,,,,,Adipose - Subcutaneous
ERR5320481,,,,,Adipose - Subcutaneous
ERR5320482,,,,,Adipose - Subcutaneous
ERR5320484,,,,,Adipose - Subcutaneous
ERR5320488,,,,,Adipose - Subcutaneous
ERR5320461,,,,,Adipose - Subcutaneous
ERR5320463,,,,,Adipose - Subcutaneous
ERR5320464,,,,,Adipose - Subcutaneous
ERR5320470,,,,,Adipose - Subcutaneous
ERR5320474,,,,,Adipose - Subcutaneous
ERR5320475,,,,,Adipose - Subcutaneous
ERR5320476,,,,,Adipose - Subcutaneous
ERR5320478,,,,,Adipose - Subcutaneous
ERR5320480,,,,,Adipose - Subcutaneous
ERR5320486,,,,,Adipose - Subcutaneous
ERR5320487,,,,,Adipose - Subcutaneous
ERR5320489,,,,,Adipose - Subcutaneous
ERR5320459,,,,,Adipose - Subcutaneous
ERR5320460,,,,,Adipose - Subcutaneous
ERR5320462,,,,,Adipose - Subcutaneous
ERR5320465,,,,,Adipose - Subcutaneous
ERR5320466,,,,,Adipose - Subcutaneous
