study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;;
PRJEB21619;04/07/2017;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;ERR2022826;SAMEA104150457;Adipose;Protocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;Adipose_p;RANDOM PCR;TRANSCRIPTOMIC;RNA-Seq;Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 paired end sequencing: Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363091;SAMN26788724;62_PRE;62_PRE;GSM5960722;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960722: 62_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363094;SAMN26788727;60_PRE;60_PRE;GSM5960719;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960719: 60_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363101;SAMN26788742;56_PRE;56_PRE;GSM5960704;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960704: 56_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363104;SAMN26788757;44_PRE;44_PRE;GSM5960689;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960689: 44_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363111;SAMN26788775;34_PRE;34_PRE;GSM5960671;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960671: 34_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363116;SAMN26788805;21_PRE;21_PRE;GSM5960641;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960641: 21_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363122;SAMN26788811;2_PRE;2_PRE;GSM5960635;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960635: 2_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363123;SAMN26788700;71_PRE;71_PRE;GSM5960746;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960746: 71_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363125;SAMN26788694;9_PRE;9_PRE;GSM5960752;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960752: 9_PRE Homo sapiens RNA-Seq;;;Adipose;;
