study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;;
PRJEB14688;06/01/2017;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;ERR1514464;SAMEA4062962;Sample 28;Protocols: MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;Sample 28_p;PCR;TRANSCRIPTOMIC;RNA-Seq;MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;PAIRED;;ILLUMINA;;;mesenchymal stem cell;;;;;;;Illumina HiSeq 2000 paired end sequencing: RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;some aged donors;cultured cells;Connective Tissue - Mesenchymal stem cell;;
PRJNA933170;27/02/2023;Activity-dependent gene expression in the human brain;Activity-dependent gene expression in the human brain;SRR23384960;SAMN33227578;BulkRNAUnstimulated6;BulkRNAUnstimulated6;GSM7036194;cDNA;TRANSCRIPTOMIC;RNA-Seq;Bulk RNA-seq Total RNA was extracted from sampled human brains using miRNeasy Mini Kite and homogenized in Qiazol using stainless steel beads. Chloroform was then used for phase separation. RNA containing an aqueous layer was further purified using the RNeasy MinElute spin column. RNA was finally eluted in RNase-free water. For bulk RNA-seq librairies were prepared using Ribo-Zero gold sample preparation kit. Library concentrations were measured using KAPA Illumina Library Quantification Kit. Polled libraries were sequenced on Illumina NovaSeq6000 sequencer with 150-bp Paired-End chemistry.;PAIRED;;ILLUMINA;;;;;brain anterior temporal lobe;;;;;Illumina NovaSeq 6000 sequencing: GSM7036194: BulkRNAUnstimulated6 Homo sapiens RNA-Seq;epilepsy;non-cancer disease;Brain - Temporal lobe;;
PRJNA454694;09/02/2019;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;SRR7094309;SAMN09011903;Sample_6 [RNA-seq];Sample_6 [RNA-seq];;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3124817: Sample_6 [RNA-seq] Homo sapiens RNA-Seq;;;Blood - Whole blood;;
PRJNA637378;27/01/2021;Non-CG methylation and multiple epigenetic layers associate child abuse with immune and small GTPase dysregulation;Non-CG methylation and multiple epigenetic layers associate child abuse with immune and small GTPase dysregulation;SRR13485934;SAMN17384643;Anterior Cingulate cortex, sbb11, RNAseq;Anterior Cingulate cortex, sbb11, RNAseq;;cDNA;TRANSCRIPTOMIC;RNA-Seq;TrueSeq Stranded Total RNA Sample Preparation + Ribo-Zero Gold kits (Illumina);PAIRED;;ILLUMINA;;;;;Anterior Cingulate cortex (human brain tissue);;;;;Illumina HiSeq 2000 sequencing: GSM5026558: Anterior Cingulate cortex, sbb11, RNAseq Homo sapiens RNA-Seq;;;Brain - Anterior cingulate cortex;;
PRJNA703993;23/03/2021;Glucocorticoid signaling in pancreatic islets modulates gene regulatory programs and genetic risk of type 2 diabetes;Glucocorticoid signaling in pancreatic islets modulates gene regulatory programs and genetic risk of type 2 diabetes;SRR13764547;SAMN18027832;RNA_Isl8_Untreated;RNA_Isl8_Untreated;;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNeasy Mini kit (Qiagen) Sequence ribodepleted RNA libraries were prepared according to standard illumina protocols.;PAIRED;;ILLUMINA;;;;;pancreatic islets;;;;;Illumina NovaSeq 6000 sequencing: GSM5100342: RNA_Isl10_Low-dose_dex_24hr Homo sapiens RNA-Seq;;;Pancreas - Islet of Langherans;;
PRJNA486023;14/03/2019;Fudan University Shanghai Cancer Center Triple Negative Breast Cancer (FUSCCTNBC);Homo sapiens;SRR8518378;SAMN09837076;Human sample from Homo sapiens;Human sample from Homo sapiens;Lib_FUSCCTNBC205.PT;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Paired normal breast tissue;;FUSCCTNBC205;;;HiSeq X Ten sequencing: RNAseq of Homo sapiens: triple negative breast cancer from FUSCCTNBC project;;tumor-adjacent;Breast;;
PRJNA450845;18/06/2019;Genome-wide expression from the esophageal biopsies of subjects with and without eosinophilic esophagitis;Genome-wide expression from the esophageal biopsies of subjects with and without eosinophilic esophagitis;SRR7030497;SAMN08949713;19_CB2586_11C62;19_CB2586_11C62;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Esophageal biopsy RNA was isolated from distal esophageal biopsy RNA from EoE patients with active disease and from unaffected controls using a Qiagen kit. Libraries were prepared for sequencign using TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero. RiboZero RNA-Seq dUTP;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3103960: 19_CB2586_11C62 Homo sapiens RNA-Seq;;;Esophagus;;
PRJNA454694;09/02/2019;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;SRR7094310;SAMN09011902;Sample_7 [RNA-seq];Sample_7 [RNA-seq];;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3124818: Sample_7 [RNA-seq] Homo sapiens RNA-Seq;;;Blood - Whole blood;;
PRJNA486023;14/03/2019;Fudan University Shanghai Cancer Center Triple Negative Breast Cancer (FUSCCTNBC);Homo sapiens;SRR8518131;SAMN09837011;Human sample from Homo sapiens;Human sample from Homo sapiens;Lib_FUSCCTNBC140.PT;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Paired normal breast tissue;;FUSCCTNBC140;;;HiSeq X Ten sequencing: RNAseq of Homo sapiens: triple negative breast cancer from FUSCCTNBC project;;tumor-adjacent;Breast;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013685;SAMN19988509;SJLB751;SJLB751;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412317: SJLB751 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJEB14688;06/01/2017;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;ERR1514452;SAMEA4062950;Sample 17;Protocols: MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;Sample 17_p;PCR;TRANSCRIPTOMIC;RNA-Seq;MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;PAIRED;;ILLUMINA;;;tenocyte;;;;;;;Illumina HiSeq 2000 paired end sequencing: RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;some aged donors;cultured cells;Tendon - tenocyte;;
PRJNA496323;27/01/2019;Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort;Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort;SRR8052756;SAMN10238622;CTRL_009_healthy;CTRL_009_healthy;;cDNA;TRANSCRIPTOMIC;RNA-Seq;5mm skin punch biopsies were stored in PaxGene tissue containers (PreAnalytiX) at -80°C until isolation of total RNA with the Qiagen AllPrep DNA/RNA Mini Kit preceded by an additional disruption/homogenization step with innuSPEED Lysis Tubes W (Analytik Jena) and Qiagen QIAshredder spin-columns. RNA samples were prepared for sequencing using the Illumina Truseq® Stranded total RNA Protocol in combination with the RiboZero rRNA removal Kit and sequenced on the HiSeq2500 with 2x125bp.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3427916: CTRL_009_healthy Homo sapiens RNA-Seq;;Healthy;Skin;;
PRJNA450481;18/12/2018;High-throughput RNA sequencing on circular RNA profiles of human triple-negative breast cancer and adjacent normal tissues;High-throughput RNA sequencing on circular RNA profiles of human triple-negative breast cancer and adjacent normal tissues;SRR7012370;SAMN08939817;Normal 2;Normal 2;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Breast tissues were surgically removed, flash frozen on dry ice, and total RNA was harvested using Trizol reagent and treated with the RiboMinus Eukaryote Kit (Qiagen, Valencia, CA) to remove rRNA before constructing the RNA-seq libraries. RNA libraries were prepared for sequencing using standard Illumina protocols.;PAIRED;;ILLUMINA;;;;;"Fresh frozen;adjacent normal tissue";;;;;Illumina HiSeq 3000 sequencing: GSM3100610: Normal 2 Homo sapiens RNA-Seq;;tumor-adjacent;Breast;;
PRJNA914646;24/12/2023;Integrated Unbiased Multiomics Defines Disease-Independent Placental Clusters in Common Obstetrical Syndromes;;SRR22925262;SAMN32490815;Human sample from Homo sapiens;Human sample from Homo sapiens;TP18.B1992;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Placenta;;Control;;;Illumina NovaSeq 6000 sequencing: Control;;healthy;Placenta;;
PRJNA716181;27/02/2023;Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients;Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients;SRR14027928;SAMN18397082;RNA_P13PN;RNA_P13PN;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Samples were treated with 1mL TRIzol reagent according to manufacturer's instructions. Nanodrop ND-1000 was used for RNA density/purity detection. Agilent BioAnalyzer 2100 was used for RNA quality control. rRNA depletion was conducted before RNA-seq library preparation using TruSeq Stranded Total RNA Library Prep Kit. The libraries were constructed using TruSeq Stranded Total RNA with Ribo-Zero Gold according to the manufacturer's instructions.;PAIRED;;ILLUMINA;;;;;Adjacent tissue;;;;;Illumina HiSeq 2500 sequencing: GSM5194570: RNA_P13PN Homo sapiens RNA-Seq;;tumor-adjacent;Liver;;
PRJNA695543;01/02/2021;Transcriptome analysis discloses dysregulated genes in normal appearing tumor-adjacent thyroid tissues from patients with papillary thyroid carcinoma;Transcriptome analysis discloses dysregulated genes in normal appearing tumor-adjacent thyroid tissues from patients with papillary thyroid carcinoma;SRR13572916;SAMN17616059;NAT Rep11;NAT Rep11;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated using TRIzol reagent (Invitrogen) according to the manufacturer's instructions. The purity of extracted RNA was measured using a NanoDrop ND-1000 spectrophotometer (NanoDrop Technologies, Inc., Wilmington, DE) and the concentration was assessed with Qubit 2.0 Fluorometer (Agilent Technologies, Santa Clara, CA) using an RNA HS Assay Kit. Samples with RNA Integrity Number (RIN) greater than 4 as assessed by a BioAnalyzer (Agilent) with no visible sign of genomic DNA contamination from the HS Nanochip tracings were used for total RNA library generation. RNA-seq libraries were prepared using the Illumina TruSeq Stranded Total RNA Sample Prep Kit with Ribo-Zero Gold (catalog #RS-122-2201) according to the manufacturer protocol. The sequencing was performed in paired end manner, generating 2 X 100 bp paired-end reads using the Illumina HiSeq 2500 system. Pre-alignment data QC were assessed with FastQC. Post-alignment data quality was assessed with an in-house quality control pipeline/database for RNA-seq database (14). RNA-seq data were trimmed for any adapter sequences using Adapter Removal (15).;PAIRED;;ILLUMINA;;;;;"Normal appearing thyroid tissue adjacent to PTC tumor;Thyroid";;;;;Illumina HiSeq 2500 sequencing: GSM5048770: T Rep14 Homo sapiens RNA-Seq;;tumor-adjacent;Thyroid Gland;;
