run_accession	study_accession	first_public
SRR1556219	PRJNA259212	2015-03-09
SRR1556220	PRJNA259212	2015-03-09
SRR1556221	PRJNA259212	2015-03-09
SRR1556222	PRJNA259212	2015-03-09
SRR1556223	PRJNA259212	2015-03-09
SRR1556224	PRJNA259212	2015-03-09
SRR1556226	PRJNA259212	2015-03-09
SRR1556227	PRJNA259212	2015-03-09
SRR1556229	PRJNA259212	2015-03-09
SRR1556218	PRJNA259212	2015-03-09
SRR1556225	PRJNA259212	2015-03-09
SRR1556230	PRJNA259212	2015-03-09
SRR1556232	PRJNA259212	2015-03-09
SRR1556233	PRJNA259212	2015-03-09
SRR1556217	PRJNA259212	2015-03-09
SRR1580540	PRJNA261431	2015-03-22
SRR1580544	PRJNA261431	2015-03-22
SRR1580547	PRJNA261431	2015-03-22
SRR1580550	PRJNA261431	2015-03-22
SRR1580551	PRJNA261431	2015-03-22
SRR1580552	PRJNA261431	2015-03-22
SRR1580541	PRJNA261431	2015-03-22
SRR1580543	PRJNA261431	2015-03-22
SRR1580545	PRJNA261431	2015-03-22
SRR1580546	PRJNA261431	2015-03-22
SRR1580548	PRJNA261431	2015-03-22
SRR1580542	PRJNA261431	2015-03-22
SRR1580549	PRJNA261431	2015-03-22
SRR1580553	PRJNA261431	2015-03-22
SRR1616900	PRJNA264334	2015-03-23
SRR1616902	PRJNA264334	2015-03-23
SRR1616907	PRJNA264334	2015-03-23
SRR1616909	PRJNA264334	2015-03-23
SRR1616910	PRJNA264334	2015-03-23
SRR1616922	PRJNA264334	2015-03-23
SRR1616923	PRJNA264334	2015-03-23
SRR1616924	PRJNA264334	2015-03-23
SRR1616925	PRJNA264334	2015-03-23
SRR1616926	PRJNA264334	2015-03-23
SRR1616927	PRJNA264334	2015-03-23
SRR1616901	PRJNA264334	2015-03-23
SRR1616904	PRJNA264334	2015-03-23
SRR1616914	PRJNA264334	2015-03-23
SRR1616918	PRJNA264334	2015-03-23
SRR1616919	PRJNA264334	2015-03-23
SRR1616899	PRJNA264334	2015-03-23
SRR1616903	PRJNA264334	2015-03-23
SRR1616905	PRJNA264334	2015-03-23
SRR1616906	PRJNA264334	2015-03-23
SRR1616908	PRJNA264334	2015-03-23
SRR1616911	PRJNA264334	2015-03-23
SRR1616912	PRJNA264334	2015-03-23
SRR1616913	PRJNA264334	2015-03-23
SRR1616915	PRJNA264334	2015-03-23
SRR1616916	PRJNA264334	2015-03-23
SRR1616917	PRJNA264334	2015-03-23
SRR1616920	PRJNA264334	2015-03-23
SRR1616921	PRJNA264334	2015-03-23
SRR1594532	PRJNA262824	2015-04-03
SRR1594536	PRJNA262824	2015-04-03
SRR1594537	PRJNA262824	2015-04-03
SRR1594540	PRJNA262824	2015-04-03
SRR1594542	PRJNA262824	2015-04-03
SRR1594548	PRJNA262824	2015-04-03
SRR1594549	PRJNA262824	2015-04-03
SRR1594531	PRJNA262824	2015-04-03
SRR1594534	PRJNA262824	2015-04-03
SRR1594535	PRJNA262824	2015-04-03
SRR1594538	PRJNA262824	2015-04-03
SRR1594539	PRJNA262824	2015-04-03
SRR1594543	PRJNA262824	2015-04-03
SRR1594544	PRJNA262824	2015-04-03
SRR1594546	PRJNA262824	2015-04-03
SRR1594547	PRJNA262824	2015-04-03
SRR1594533	PRJNA262824	2015-04-03
SRR1594541	PRJNA262824	2015-04-03
SRR1594545	PRJNA262824	2015-04-03
SRR1744414	PRJNA271773	2015-04-23
SRR1744415	PRJNA271773	2015-04-23
SRR1744416	PRJNA271773	2015-04-23
SRR1744418	PRJNA271773	2015-04-23
SRR1744420	PRJNA271773	2015-04-23
SRR1744421	PRJNA271773	2015-04-23
SRR1744422	PRJNA271773	2015-04-23
SRR1744428	PRJNA271773	2015-04-23
SRR1744429	PRJNA271773	2015-04-23
SRR1744434	PRJNA271773	2015-04-23
SRR1744435	PRJNA271773	2015-04-23
SRR1744437	PRJNA271773	2015-04-23
SRR1744442	PRJNA271773	2015-04-23
SRR1744445	PRJNA271773	2015-04-23
SRR1744448	PRJNA271773	2015-04-23
SRR1744451	PRJNA271773	2015-04-23
SRR1744417	PRJNA271773	2015-04-23
SRR1744419	PRJNA271773	2015-04-23
SRR1744424	PRJNA271773	2015-04-23
SRR1744425	PRJNA271773	2015-04-23
SRR1744426	PRJNA271773	2015-04-23
SRR1744430	PRJNA271773	2015-04-23
SRR1744443	PRJNA271773	2015-04-23
SRR1744444	PRJNA271773	2015-04-23
SRR1744446	PRJNA271773	2015-04-23
SRR1744447	PRJNA271773	2015-04-23
SRR1744449	PRJNA271773	2015-04-23
SRR1744452	PRJNA271773	2015-04-23
SRR1744453	PRJNA271773	2015-04-23
SRR1744413	PRJNA271773	2015-04-23
SRR1744423	PRJNA271773	2015-04-23
SRR1744427	PRJNA271773	2015-04-23
SRR1744431	PRJNA271773	2015-04-23
SRR1744432	PRJNA271773	2015-04-23
SRR1744433	PRJNA271773	2015-04-23
SRR1744436	PRJNA271773	2015-04-23
SRR1744450	PRJNA271773	2015-04-23
SRR1768822	PRJNA273359	2015-09-16
SRR1768823	PRJNA273359	2015-09-16
SRR1768826	PRJNA273359	2015-09-16
SRR1768828	PRJNA273359	2015-09-16
SRR1768832	PRJNA273359	2015-09-16
SRR1768833	PRJNA273359	2015-09-16
SRR1768835	PRJNA273359	2015-09-16
SRR1768836	PRJNA273359	2015-09-16
SRR1768838	PRJNA273359	2015-09-16
SRR1768839	PRJNA273359	2015-09-16
SRR1768841	PRJNA273359	2015-09-16
SRR1768847	PRJNA273359	2015-09-16
SRR1768850	PRJNA273359	2015-09-16
SRR1768851	PRJNA273359	2015-09-16
SRR1768853	PRJNA273359	2015-09-16
SRR1768855	PRJNA273359	2015-09-16
SRR1768859	PRJNA273359	2015-09-16
SRR1768864	PRJNA273359	2015-09-16
SRR1768867	PRJNA273359	2015-09-16
SRR1768868	PRJNA273359	2015-09-16
SRR1768872	PRJNA273359	2015-09-16
SRR1768876	PRJNA273359	2015-09-16
SRR1768877	PRJNA273359	2015-09-16
SRR1768878	PRJNA273359	2015-09-16
SRR1768882	PRJNA273359	2015-09-16
SRR1768884	PRJNA273359	2015-09-16
SRR1768886	PRJNA273359	2015-09-16
SRR1768889	PRJNA273359	2015-09-16
SRR1768891	PRJNA273359	2015-09-16
SRR1768893	PRJNA273359	2015-09-16
SRR1768896	PRJNA273359	2015-09-16
SRR1768897	PRJNA273359	2015-09-16
SRR1768900	PRJNA273359	2015-09-16
SRR1768903	PRJNA273359	2015-09-16
SRR1768904	PRJNA273359	2015-09-16
SRR1768913	PRJNA273359	2015-09-16
SRR1768914	PRJNA273359	2015-09-16
SRR1768915	PRJNA273359	2015-09-16
SRR1768924	PRJNA273359	2015-09-16
SRR1768925	PRJNA273359	2015-09-16
SRR1768929	PRJNA273359	2015-09-16
SRR1768930	PRJNA273359	2015-09-16
SRR1768932	PRJNA273359	2015-09-16
SRR1768934	PRJNA273359	2015-09-16
SRR1768939	PRJNA273359	2015-09-16
SRR1768940	PRJNA273359	2015-09-16
SRR1768943	PRJNA273359	2015-09-16
SRR1768952	PRJNA273359	2015-09-16
SRR1768959	PRJNA273359	2015-09-16
SRR1768968	PRJNA273359	2015-09-16
SRR1768970	PRJNA273359	2015-09-16
SRR1768976	PRJNA273359	2015-09-16
SRR1768981	PRJNA273359	2015-09-16
SRR1768985	PRJNA273359	2015-09-16
SRR1768821	PRJNA273359	2015-09-16
SRR1768824	PRJNA273359	2015-09-16
SRR1768827	PRJNA273359	2015-09-16
SRR1768829	PRJNA273359	2015-09-16
SRR1768830	PRJNA273359	2015-09-16
SRR1768843	PRJNA273359	2015-09-16
SRR1768844	PRJNA273359	2015-09-16
SRR1768846	PRJNA273359	2015-09-16
SRR1768848	PRJNA273359	2015-09-16
SRR1768849	PRJNA273359	2015-09-16
SRR1768854	PRJNA273359	2015-09-16
SRR1768856	PRJNA273359	2015-09-16
SRR1768860	PRJNA273359	2015-09-16
SRR1768862	PRJNA273359	2015-09-16
SRR1768865	PRJNA273359	2015-09-16
SRR1768869	PRJNA273359	2015-09-16
SRR1768870	PRJNA273359	2015-09-16
SRR1768885	PRJNA273359	2015-09-16
SRR1768887	PRJNA273359	2015-09-16
SRR1768892	PRJNA273359	2015-09-16
SRR1768895	PRJNA273359	2015-09-16
SRR1768899	PRJNA273359	2015-09-16
SRR1768901	PRJNA273359	2015-09-16
SRR1768902	PRJNA273359	2015-09-16
SRR1768908	PRJNA273359	2015-09-16
SRR1768916	PRJNA273359	2015-09-16
SRR1768920	PRJNA273359	2015-09-16
SRR1768923	PRJNA273359	2015-09-16
SRR1768927	PRJNA273359	2015-09-16
SRR1768928	PRJNA273359	2015-09-16
SRR1768933	PRJNA273359	2015-09-16
SRR1768935	PRJNA273359	2015-09-16
SRR1768937	PRJNA273359	2015-09-16
SRR1768944	PRJNA273359	2015-09-16
SRR1768948	PRJNA273359	2015-09-16
SRR1768949	PRJNA273359	2015-09-16
SRR1768951	PRJNA273359	2015-09-16
SRR1768953	PRJNA273359	2015-09-16
SRR1768956	PRJNA273359	2015-09-16
SRR1768957	PRJNA273359	2015-09-16
SRR1768958	PRJNA273359	2015-09-16
SRR1768963	PRJNA273359	2015-09-16
SRR1768967	PRJNA273359	2015-09-16
SRR1768969	PRJNA273359	2015-09-16
SRR1768974	PRJNA273359	2015-09-16
SRR1768975	PRJNA273359	2015-09-16
SRR1768978	PRJNA273359	2015-09-16
SRR1768980	PRJNA273359	2015-09-16
SRR1768987	PRJNA273359	2015-09-16
SRR1768989	PRJNA273359	2015-09-16
SRR1768825	PRJNA273359	2015-09-16
SRR1768831	PRJNA273359	2015-09-16
SRR1768834	PRJNA273359	2015-09-16
SRR1768837	PRJNA273359	2015-09-16
SRR1768840	PRJNA273359	2015-09-16
SRR1768842	PRJNA273359	2015-09-16
SRR1768845	PRJNA273359	2015-09-16
SRR1768852	PRJNA273359	2015-09-16
SRR1768857	PRJNA273359	2015-09-16
SRR1768858	PRJNA273359	2015-09-16
SRR1768861	PRJNA273359	2015-09-16
SRR1768863	PRJNA273359	2015-09-16
SRR1768866	PRJNA273359	2015-09-16
SRR1768871	PRJNA273359	2015-09-16
SRR1768873	PRJNA273359	2015-09-16
SRR1768874	PRJNA273359	2015-09-16
SRR1768875	PRJNA273359	2015-09-16
SRR1768879	PRJNA273359	2015-09-16
SRR1768880	PRJNA273359	2015-09-16
SRR1768881	PRJNA273359	2015-09-16
SRR1768883	PRJNA273359	2015-09-16
SRR1768888	PRJNA273359	2015-09-16
SRR1768890	PRJNA273359	2015-09-16
SRR1768894	PRJNA273359	2015-09-16
SRR1768898	PRJNA273359	2015-09-16
SRR1768905	PRJNA273359	2015-09-16
SRR1768906	PRJNA273359	2015-09-16
SRR1768907	PRJNA273359	2015-09-16
SRR1768909	PRJNA273359	2015-09-16
SRR1768910	PRJNA273359	2015-09-16
SRR1768911	PRJNA273359	2015-09-16
SRR1768912	PRJNA273359	2015-09-16
SRR1768917	PRJNA273359	2015-09-16
SRR1768918	PRJNA273359	2015-09-16
SRR1768919	PRJNA273359	2015-09-16
SRR1768921	PRJNA273359	2015-09-16
SRR1768922	PRJNA273359	2015-09-16
SRR1768926	PRJNA273359	2015-09-16
SRR1768931	PRJNA273359	2015-09-16
SRR1768936	PRJNA273359	2015-09-16
SRR1768938	PRJNA273359	2015-09-16
SRR1768941	PRJNA273359	2015-09-16
SRR1768942	PRJNA273359	2015-09-16
SRR1768945	PRJNA273359	2015-09-16
SRR1768946	PRJNA273359	2015-09-16
SRR1768947	PRJNA273359	2015-09-16
SRR1768950	PRJNA273359	2015-09-16
SRR1768954	PRJNA273359	2015-09-16
SRR1768955	PRJNA273359	2015-09-16
SRR1768960	PRJNA273359	2015-09-16
SRR1768961	PRJNA273359	2015-09-16
SRR1768962	PRJNA273359	2015-09-16
SRR1768964	PRJNA273359	2015-09-16
SRR1768965	PRJNA273359	2015-09-16
SRR1768966	PRJNA273359	2015-09-16
SRR1768971	PRJNA273359	2015-09-16
SRR1768972	PRJNA273359	2015-09-16
SRR1768973	PRJNA273359	2015-09-16
SRR1768977	PRJNA273359	2015-09-16
SRR1768979	PRJNA273359	2015-09-16
SRR1768982	PRJNA273359	2015-09-16
SRR1768983	PRJNA273359	2015-09-16
SRR1768984	PRJNA273359	2015-09-16
SRR1768986	PRJNA273359	2015-09-16
SRR1768988	PRJNA273359	2015-09-16
SRR1917526	PRJNA278733	2016-02-16
SRR1917530	PRJNA278733	2016-02-16
SRR1917531	PRJNA278733	2016-02-16
SRR1917532	PRJNA278733	2016-02-16
SRR1917527	PRJNA278733	2016-02-16
SRR1917533	PRJNA278733	2016-02-16
SRR1917534	PRJNA278733	2016-02-16
SRR1917536	PRJNA278733	2016-02-16
SRR1917525	PRJNA278733	2016-02-16
SRR1917528	PRJNA278733	2016-02-16
SRR1917529	PRJNA278733	2016-02-16
SRR1917535	PRJNA278733	2016-02-16
SRR1917537	PRJNA278733	2016-02-16
SRR3184282	PRJNA312948	2016-03-19
SRR3184283	PRJNA312948	2016-03-19
SRR3184284	PRJNA312948	2016-03-19
SRR3184289	PRJNA312948	2016-03-19
SRR3184291	PRJNA312948	2016-03-19
SRR3184293	PRJNA312948	2016-03-19
SRR3184295	PRJNA312948	2016-03-19
SRR3184305	PRJNA312948	2016-03-19
SRR3184281	PRJNA312948	2016-03-19
SRR3184285	PRJNA312948	2016-03-19
SRR3184287	PRJNA312948	2016-03-19
SRR3184290	PRJNA312948	2016-03-19
SRR3184294	PRJNA312948	2016-03-19
SRR3184296	PRJNA312948	2016-03-19
SRR3184300	PRJNA312948	2016-03-19
SRR3184302	PRJNA312948	2016-03-19
SRR3184304	PRJNA312948	2016-03-19
SRR3184306	PRJNA312948	2016-03-19
SRR3184279	PRJNA312948	2016-03-19
SRR3184280	PRJNA312948	2016-03-19
SRR3184286	PRJNA312948	2016-03-19
SRR3184288	PRJNA312948	2016-03-19
SRR3184292	PRJNA312948	2016-03-19
SRR3184297	PRJNA312948	2016-03-19
SRR3184298	PRJNA312948	2016-03-19
SRR3184299	PRJNA312948	2016-03-19
SRR3184301	PRJNA312948	2016-03-19
SRR3184303	PRJNA312948	2016-03-19
SRR3191970	PRJNA30709	2016-03-30
SRR3192037	PRJNA30709	2016-03-30
SRR3192337	PRJNA30709	2016-03-30
SRR3192555	PRJNA30709	2016-03-30
SRR3192574	PRJNA30709	2016-03-30
SRR3192614	PRJNA30709	2016-03-30
SRR3191969	PRJNA30709	2016-03-30
SRR3192038	PRJNA30709	2016-03-30
SRR3192554	PRJNA30709	2016-03-30
SRR3192559	PRJNA30709	2016-03-30
SRR3192586	PRJNA30709	2016-03-30
SRR3192615	PRJNA30709	2016-03-30
SRR3192336	PRJNA30709	2016-03-30
SRR3192558	PRJNA30709	2016-03-30
SRR3192575	PRJNA30709	2016-03-30
SRR3192587	PRJNA30709	2016-03-30
SRR3192596	PRJNA30709	2016-03-30
SRR2146054	PRJNA291993	2016-04-01
SRR2146058	PRJNA291993	2016-04-01
