id_cell,name,synonym,disease,age,sex,ethnicity,localization,biopsy_type,biopsy_site,uberon_code,cell_type,ct_code
CVCL_B0T9,132 PC3-1-SC-E8,Z48-5MG-70,,,,,,,,,,
CVCL_B0T8,132 PL12 SC-D1,Z48-5MG-63,,,,,,,,,,
CVCL_E548,15310-LN,15310-LN;TER461;TER-461;TER479;TER-479,,,Female,Caucasian,,blood,Peripheral blood,UBERON_0000178,B-cell,CL_0000236
CVCL_KA96,16-15,,,,,,,,,,,
CVCL_IW91,40a,,Mouse mesothelioma,,,,,metastasis,Peritoneum,UBERON_0002358,,
CVCL_B375,490,490;Mab7,,,,,,,,,,
CVCL_X345,822,822;Mab13,,,,,,,,,,
CVCL_C4ZN,G65G,,,,,,,,,,,
CVCL_E549,W7079,#W7079 REM;W7079,,,,Caucasian,,blood,Peripheral blood,UBERON_0000178,B-cell,CL_0000236
CVCL_G217,(BF1) 8A3.31,,,,,,,,,,,
CVCL_VG99,(L)PC6,,Lung carcinoma,,,,,primary,Lung,UBERON_0002048,,
CVCL_6479,+/+ (A),,,,,,,primary,Whole embryo,UBERON_0000922,,
CVCL_6480,+/+ (B),,,,,,,primary,Whole embryo,UBERON_0000922,,
CVCL_S361,+/+ (C),,,,,,,primary,Whole embryo,UBERON_0000922,,
CVCL_4977,+/+ Li,,,,,,,primary,Embryonic liver,UBERON_0002107,,
CVCL_3627,+/+ MGT,,Malignant neoplasms of the mouse mammary gland,,,,,primary,Mammary gland,UBERON_0001911,,
CVCL_3628,+/+ SCT,,Mouse neoplasms,,,,,,,,,
CVCL_WM09,0.57,,,,,,,primary,Whole embryo,UBERON_0000922,,
CVCL_B5B3,0.5alpha,0.5 alpha,,Adult,,,,blood,Peripheral blood,UBERON_0000178,,
CVCL_D1GY,00-143,,NUT carcinoma,22Y,Female,,,metastasis,Lymph node,UBERON_0000029,,
CVCL_E557,00136,136,,,,Native North American,,blood,Peripheral blood,UBERON_0000178,B-cell,CL_0000236
CVCL_ZB51,0138F-1,,,,,,,primary,Skin,UBERON_0002097,Fibroblast of skin,CL_0002620
CVCL_VG31,0162D,,,15Y,Female,,,primary,"Skin, dermis",UBERON_0002067,Fibroblast of skin,CL_0002620
CVCL_VG32,0165D,,,12Y,Female,,,primary,"Skin, dermis",UBERON_0002067,Fibroblast of skin,CL_0002620
CVCL_ZW87,017-PC-A,,,Blastocyst stage,Female,,,primary,Blastocyst,UBERON_0000358,,
CVCL_ZW88,017-PC-M,,,Blastocyst stage,Female,,,primary,Blastocyst,UBERON_0000358,Pericyte,CL_0000669
CVCL_ZW89,017-PC-O,,,Blastocyst stage,Female,,,primary,Blastocyst,UBERON_0000358,,
CVCL_D2Y7,01Abic immortal clone 2,,Facioscapulohumeral muscular dystrophy 1,42Y,Male,,,primary,"Muscle, biceps brachii",UBERON_0001507,,
CVCL_D2Y8,01Abic immortal clone 6,,Facioscapulohumeral muscular dystrophy 1,42Y,Male,,,primary,"Muscle, biceps brachii",UBERON_0001507,,
CVCL_XB90,0225-02Sp,,Lung squamous cell carcinoma,68Y,Male,Chinese,,primary,Lung,UBERON_0002048,,
CVCL_6494,022HU-NSO,,Mouse multiple myeloma,,,,,,,,,
CVCL_ZB52,0274F-1,,,,,,,primary,Skin,UBERON_0002097,Fibroblast of skin,CL_0002620
CVCL_ZB53,0274F-2,,,,,,,primary,Skin,UBERON_0002097,Fibroblast of skin,CL_0002620
CVCL_A2TJ,03-01 fibroblast,,,43Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UI,03-01 iPS 2,03-01#2,,43Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UJ,03-01 iPS 3,03-01#3,,43Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UK,03-01 iPS 4,03-01#4,,43Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UL,03-01 iPS 9,03-01#9,,43Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2TK,03-02 fibroblast,,,43Y,Female,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UM,03-02 iPS 2B,03-02#2B,,43Y,Female,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UN,03-02 iPS 5,03-02#5,,43Y,Female,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UP,03-02 iPS 8,03-02#8,,43Y,Female,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UQ,03-02 iPS 9,03-02#9,,43Y,Female,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2TL,03-03 fibroblast,,,8Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UR,03-03 iPS 2,03-03#2,,8Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2US,03-03 iPS 3,03-03#3,,8Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UT,03-03 iPS 4,03-03#4,,8Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2TM,03-04 fibroblast,,Autism spectrum disorder,6Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UU,03-04 iPS 1,03-04#1,Autism spectrum disorder,6Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UV,03-04 iPS 3,03-04#3,Autism spectrum disorder,6Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UW,03-04 iPS 5,03-04#5,Autism spectrum disorder,6Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2UX,03-04 iPS 6,03-04#6,Autism spectrum disorder,6Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_IP58,0308,0308-GSC;GSC-0308,Glioblastoma,,,,,primary,Brain,UBERON_0000955,,
CVCL_IJ15,031M-CUMC/INSERM,031M,Prader-Willi syndrome,,Female,,,primary,Skin,UBERON_0002097,Fibroblast of skin,CL_0002620
CVCL_C7W5,0342 mel,,Cutaneous melanoma,,,,,metastasis,Not specified,,,
CVCL_YZ96,0363M-1,,,,,,,primary,Skin,UBERON_0002097,Fibroblast of skin,CL_0002620
CVCL_YZ97,0363M-2,,,,,,,primary,Skin,UBERON_0002097,Fibroblast of skin,CL_0002620
CVCL_A6HV,0467.3,,Lesch-Nyhan syndrome,,Female,,,blood,Peripheral blood,UBERON_0000178,,
CVCL_WU68,04T036,,Lung sarcomatoid carcinoma,50Y,Male,,,primary,"Lung, right upper lobe",UBERON_0002170,,
CVCL_V362,051407cb,970615NSB,,,Male,,,blood,Peripheral blood,UBERON_0000178,,
CVCL_C4MD,059-1.100.5,,,,,,,,,,,
CVCL_C4ME,059-1.11.1,,,,,,,,,,,
CVCL_C4MF,059-1.20.1,,,,,,,,,,,
CVCL_C4MG,059-1.30.1,,,,,,,,,,,
CVCL_C4MH,059-1.43.1,,,,,,,,,,,
CVCL_C4MI,059-1.51.2,,,,,,,,,,,
CVCL_C4MJ,059-1.82.1,,,,,,,,,,,
CVCL_Y448,066,,,,,,,,,,,
CVCL_IJ16,066MD-CUMC/INSERM,066MD,Prader-Willi syndrome,,Female,,,primary,Skin,UBERON_0002097,Fibroblast of skin,CL_0002620
CVCL_A2YX,07-01 fibroblast,,,46Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2YY,07-01 iPS 1,07-01#1;i07-01#1,,46Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
CVCL_A2YZ,07-01 iPS 2,07-01#2;i07-01#2,,46Y,Male,,,primary,"Arm, skin",UBERON_0002427,Fibroblast of skin,CL_0002620
